Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458428400.0 1.0 51 78 120 NA NA NA NA 96 143 168 NA NA NA NA 2877 640 703 NA NA NA NA 3197 697 721 NA NA NA NA
1458428400.0 10.0 NA 70 173 0 NA NA NA NA 140 229 0 NA NA NA NA 2844 3495 984 NA NA NA NA 2888 3550 1018 NA NA NA
1458428400.0 1000.0 NA 175 98 0 32 NA NA NA 239 153 0 66 NA NA NA 3236 693 768 147 NA NA NA 3304 812 797 186 NA NA
1458428400.0 1001.0 NA 164 162 0 0 0 0 NA 220 202 0 0 0 0 NA 2847 609 102 88 775 56 NA 3047 626 107 92 787 65
1458428400.0 1002.0 NA 180 62 NA NA NA NA NA 248 93 NA NA NA NA NA 3941 308 NA NA NA NA NA 4130 342 NA NA NA NA
1458428400.0 1003.0 NA 155 0 NA NA NA NA NA 222 0 NA NA NA NA NA 5424 804 NA NA NA NA NA 6035 877 NA NA NA NA
1458428400.0 101.0 79 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1345 NA NA NA NA NA NA 1423 NA NA NA NA NA NA
1458428400.0 102.0 78 NA NA NA NA NA NA 136 NA NA NA NA NA NA 918 NA NA NA NA NA NA 978 NA NA NA NA NA NA
1458428400.0 103.0 46 73 170 NA NA NA NA 91 143 227 NA NA NA NA 833 258 536 NA NA NA NA 888 318 631 NA NA NA NA
1458428400.0 105.0 51 72 23 NA NA NA NA 96 144 53 NA NA NA NA 1996 407 4 NA NA NA NA 2257 426 10 NA NA NA NA
1458428400.0 106.0 36 0 0 NA NA NA NA 76 0 0 NA NA NA NA 651 150 325 NA NA NA NA 679 164 345 NA NA NA NA
1458428400.0 107.0 53 73 174 NA NA NA NA 97 144 227 NA NA NA NA 5505 785 1042 NA NA NA NA 5779 913 1141 NA NA NA NA
1458428400.0 108.0 55 74 175 NA NA NA NA 100 144 228 NA NA NA NA 7617 693 1238 NA NA NA NA 7728 785 1404 NA NA NA NA
1458428400.0 109.0 56 82 172 NA NA NA NA 100 144 228 NA NA NA NA 6433 432 793 NA NA NA NA 6617 457 821 NA NA NA NA
1458428400.0 11.0 NA 65 179 0 38 NA NA NA 139 237 0 76 NA NA NA 2265 1320 939 86 NA NA NA 2309 1361 1008 105 NA NA
1458428400.0 110.0 43 71 167 NA NA NA NA 84 143 227 NA NA NA NA 692 400 576 NA NA NA NA 711 420 608 NA NA NA NA
1458428400.0 1102.0 NA 73 178 100 60 NA NA NA 140 231 154 100 NA NA NA 4040 5674 3176 260 NA NA NA 4101 5784 3240 270 NA NA
1458428400.0 111.0 51 79 168 NA NA NA NA 97 144 225 NA NA NA NA 3359 646 953 NA NA NA NA 3563 672 1210 NA NA NA NA
1458428400.0 112.0 53 81 171 NA NA NA NA 98 144 227 NA NA NA NA 4959 704 985 NA NA NA NA 5258 872 1072 NA NA NA NA
1458428400.0 113.0 53 75 169 NA NA NA NA 98 144 226 NA NA NA NA 4618 548 896 NA NA NA NA 4817 570 939 NA NA NA NA
1458428400.0 114.0 54 77 168 NA NA NA NA 98 144 227 NA NA NA NA 4515 532 787 NA NA NA NA 4793 598 938 NA NA NA NA
1458428400.0 115.0 55 83 169 NA NA NA NA 99 144 226 NA NA NA NA 6544 610 1016 NA NA NA NA 6831 639 1060 NA NA NA NA
1458428400.0 116.0 55 73 169 NA NA NA NA 99 144 227 NA NA NA NA 5796 506 856 NA NA NA NA 5948 545 960 NA NA NA NA
1458428400.0 117.0 53 74 172 NA NA NA NA 99 144 227 NA NA NA NA 5903 434 760 NA NA NA NA 6180 459 790 NA NA NA NA
1458428400.0 118.0 54 82 173 NA NA NA NA 99 144 227 NA NA NA NA 6958 716 1173 NA NA NA NA 7067 743 1214 NA NA NA NA
1458428400.0 119.0 54 76 171 NA NA NA NA 97 144 227 NA NA NA NA 5550 492 770 NA NA NA NA 5946 522 819 NA NA NA NA
1458428400.0 12.0 NA 72 174 0 NA NA NA NA 140 228 0 NA NA NA NA 3593 4355 1318 NA NA NA NA 3658 4460 1345 NA NA NA
1458428400.0 120.0 44 70 167 NA NA NA NA 88 143 226 NA NA NA NA 605 380 563 NA NA NA NA 687 401 602 NA NA NA NA
1458428400.0 121.0 55 75 174 NA NA NA NA 100 144 227 NA NA NA NA 5791 439 771 NA NA NA NA 6104 467 803 NA NA NA NA
1458428400.0 122.0 50 74 170 NA NA NA NA 96 144 227 NA NA NA NA 2240 462 858 NA NA NA NA 2373 612 928 NA NA NA NA
1458428400.0 123.1 152 NA NA NA NA NA NA 213 NA NA NA NA NA NA 964 NA NA NA NA NA NA 1051 NA NA NA NA NA NA
1458428400.0 123.2 155 NA NA NA NA NA NA 215 NA NA NA NA NA NA 1207 NA NA NA NA NA NA 1383 NA NA NA NA NA NA
1458428400.0 123.3 141 NA NA NA NA NA NA 203 NA NA NA NA NA NA 730 NA NA NA NA NA NA 777 NA NA NA NA NA NA
1458428400.0 124.1 147 NA NA NA NA NA NA 205 NA NA NA NA NA NA 724 NA NA NA NA NA NA 777 NA NA NA NA NA NA
1458428400.0 124.2 152 NA NA NA NA NA NA 213 NA NA NA NA NA NA 866 NA NA NA NA NA NA 934 NA NA NA NA NA NA
1458428400.0 124.4 148 NA NA NA NA NA NA 205 NA NA NA NA NA NA 753 NA NA NA NA NA NA 800 NA NA NA NA NA NA
1458428400.0 124.5 147 NA NA NA NA NA NA 205 NA NA NA NA NA NA 757 NA NA NA NA NA NA 808 NA NA NA NA NA NA
1458428400.0 124.6 141 NA NA NA NA NA NA 203 NA NA NA NA NA NA 723 NA NA NA NA NA NA 765 NA NA NA NA NA NA
1458428400.0 125.0 53 78 169 NA NA NA NA 99 144 226 NA NA NA NA 6202 547 883 NA NA NA NA 6734 585 953 NA NA NA NA
1458428400.0 126.0 44 69 167 NA NA NA NA 89 143 226 NA NA NA NA 1208 382 557 NA NA NA NA 1225 408 584 NA NA NA NA
1458428400.0 127.0 44 70 168 NA NA NA NA 84 143 226 NA NA NA NA 2145 682 860 NA NA NA NA 2251 755 921 NA NA NA NA
1458428400.0 128.0 43 70 165 NA NA NA NA 83 143 226 NA NA NA NA 569 390 561 NA NA NA NA 613 416 594 NA NA NA NA
1458428400.0 129.0 44 70 167 NA NA NA NA 87 143 227 NA NA NA NA 584 380 556 NA NA NA NA 612 398 585 NA NA NA NA
1458428400.0 13.0 NA 65 171 0 NA NA NA NA 140 227 0 NA NA NA NA 481 1840 979 NA NA NA NA 543 1972 1030 NA NA NA
1458428400.0 130.0 44 70 170 NA NA NA NA 88 143 227 NA NA NA NA 679 373 562 NA NA NA NA 696 398 594 NA NA NA NA
1458428400.0 1301.0 57 110 147 NA NA NA NA 103 171 206 NA NA NA NA 2380 821 813 NA NA NA NA 2609 969 970 NA NA NA NA
1458428400.0 1302.0 65 116 152 NA NA NA NA 109 171 207 NA NA NA NA 9928 1047 1082 NA NA NA NA 10521 1121 1157 NA NA NA NA
1458428400.0 1303.0 65 136 152 NA NA NA NA 110 171 216 NA NA NA NA 10613 609 1157 NA NA NA NA 11026 658 1216 NA NA NA NA
1458428400.0 1306.0 NA 129 205 0 NA NA NA NA 179 278 0 NA NA NA NA 753 936 1634 NA NA NA NA 908 1053 1670 NA NA NA
1458428400.0 1307.0 NA 110 118 38 0 NA NA NA 176 188 74 0 NA NA NA 1006 1078 221 712 NA NA NA 1146 1342 249 738 NA NA
1458428400.0 1308.0 NA 108 118 40 0 NA NA NA 176 188 75 0 NA NA NA 988 1044 226 706 NA NA NA 1786 1400 363 748 NA NA
1458428400.0 1309.0 NA 126 216 0 NA NA NA NA 186 278 0 NA NA NA NA 1197 1858 1881 NA NA NA NA 1356 1925 1903 NA NA NA
1458428400.0 131.0 49 72 171 NA NA NA NA 89 143 227 NA NA NA NA 2070 634 869 NA NA NA NA 2210 653 897 NA NA NA NA
1458428400.0 1310.0 NA 131 211 0 NA NA NA NA 186 278 0 NA NA NA NA 1333 2091 2042 NA NA NA NA 2352 2230 2078 NA NA NA
1458428400.0 1311.0 NA 122 198 0 55 NA NA NA 181 259 0 85 NA NA NA 1024 1584 2065 239 NA NA NA 1141 1688 2087 325 NA NA
1458428400.0 1312.0 NA 127 212 0 NA NA NA NA 184 278 0 NA NA NA NA 1165 1934 1907 NA NA NA NA 1307 2062 1938 NA NA NA
1458428400.0 1313.0 NA 135 216 0 NA NA NA NA 192 278 0 NA NA NA NA 2166 3413 1905 NA NA NA NA 2375 3555 1948 NA NA NA
1458428400.0 1314.0 NA 126 211 0 NA NA NA NA 185 278 0 NA NA NA NA 968 1428 1933 NA NA NA NA 1104 1573 1961 NA NA NA
1458428400.0 1315.0 NA 119 208 0 NA NA NA NA 180 278 0 NA NA NA NA 672 1020 1665 NA NA NA NA 794 1142 1718 NA NA NA
1458428400.0 1316.0 NA 129 204 0 NA NA NA NA 183 278 0 NA NA NA NA 789 1052 1503 NA NA NA NA 1646 1315 1575 NA NA NA
1458428400.0 1317.0 NA 125 210 0 NA NA NA NA 180 278 0 NA NA NA NA 690 1168 1797 NA NA NA NA 780 1335 1862 NA NA NA
1458428400.0 1318.0 NA 124 205 0 NA NA NA NA 179 278 0 NA NA NA NA 728 1071 1411 NA NA NA NA 837 1199 1466 NA NA NA
1458428400.0 1319.0 NA 125 208 0 NA NA NA NA 180 278 0 NA NA NA NA 769 1249 1656 NA NA NA NA 999 1404 1691 NA NA NA
1458428400.0 132.0 52 72 171 NA NA NA NA 95 143 227 NA NA NA NA 4251 693 1063 NA NA NA NA 4541 765 1171 NA NA NA NA
1458428400.0 1320.0 NA 124 208 0 NA NA NA NA 181 278 0 NA NA NA NA 1002 1562 1878 NA NA NA NA 1074 1628 1911 NA NA NA
1458428400.0 1321.0 NA 125 204 0 NA NA NA NA 181 278 0 NA NA NA NA 829 1268 1501 NA NA NA NA 948 1372 1532 NA NA NA
1458428400.0 1322.0 NA 126 207 0 NA NA NA NA 181 278 0 NA NA NA NA 808 1308 1647 NA NA NA NA 908 1430 1670 NA NA NA
1458428400.0 1323.0 NA 123 201 0 NA NA NA NA 179 278 0 NA NA NA NA 743 1162 1619 NA NA NA NA 816 1293 1665 NA NA NA
1458428400.0 1324.0 NA 123 212 0 NA NA NA NA 185 279 0 NA NA NA NA 1030 1450 1801 NA NA NA NA 1193 1572 1850 NA NA NA
1458428400.0 1325.0 NA 127 212 0 52 NA NA NA 186 278 0 92 NA NA NA 761 1201 1392 167 NA NA NA 855 1334 1540 244 NA NA
1458428400.0 1326.0 NA 125 208 0 NA NA NA NA 184 278 0 NA NA NA NA 880 1247 1708 NA NA NA NA 977 1377 1740 NA NA NA
1458428400.0 1327.0 NA 124 209 0 NA NA NA NA 182 278 0 NA NA NA NA 772 1143 1449 NA NA NA NA 890 1277 1497 NA NA NA
1458428400.0 1328.0 NA 126 212 0 NA NA NA NA 183 278 0 NA NA NA NA 1116 1734 2007 NA NA NA NA 1183 1885 2048 NA NA NA
1458428400.0 1329.0 NA 127 213 0 NA NA NA NA 184 279 0 NA NA NA NA 946 1355 1774 NA NA NA NA 1066 1472 1807 NA NA NA
1458428400.0 133.0 54 75 171 NA NA NA NA 100 144 229 NA NA NA NA 7377 458 836 NA NA NA NA 7732 527 886 NA NA NA NA
1458428400.0 1330.0 NA 124 208 0 NA NA NA NA 185 278 0 NA NA NA NA 916 1339 1643 NA NA NA NA 1034 1467 1672 NA NA NA
1458428400.0 1331.0 NA 125 210 0 NA NA NA NA 184 278 0 NA NA NA NA 749 1199 1786 NA NA NA NA 1092 1355 2117 NA NA NA
1458428400.0 1332.0 NA 123 210 0 NA NA NA NA 184 278 0 NA NA NA NA 1265 1778 1906 NA NA NA NA 1385 1880 1935 NA NA NA
1458428400.0 1333.0 NA 124 210 0 NA NA NA NA 183 278 0 NA NA NA NA 830 1248 1762 NA NA NA NA 958 1417 1785 NA NA NA
1458428400.0 1334.0 NA 125 210 0 NA NA NA NA 185 278 0 NA NA NA NA 970 1400 1901 NA NA NA NA 1126 1548 1927 NA NA NA
1458428400.0 1335.0 NA 125 208 0 NA NA NA NA 183 278 0 NA NA NA NA 872 1264 1630 NA NA NA NA 984 1437 1658 NA NA NA
1458428400.0 1336.0 NA 132 210 0 NA NA NA NA 188 279 0 NA NA NA NA 1816 3163 1999 NA NA NA NA 1907 3353 2027 NA NA NA
1458428400.0 1337.0 NA 135 227 0 NA NA NA NA 191 284 0 NA NA NA NA 2261 3219 1896 NA NA NA NA 3278 3357 1921 NA NA NA
1458428400.0 1338.0 NA 127 211 0 NA NA NA NA 188 279 0 NA NA NA NA 1008 1435 1598 NA NA NA NA 1143 1598 1622 NA NA NA
1458428400.0 1339.0 NA 127 216 0 NA NA NA NA 189 279 0 NA NA NA NA 1449 2312 1733 NA NA NA NA 1583 2443 1763 NA NA NA
1458428400.0 134.0 NA 185 35 0 NA NA NA NA 249 67 0 NA NA NA NA 4509 32 16 NA NA NA NA 4657 67 22 NA NA NA
1458428400.0 134.701 NA 104 205 0 NA NA NA NA 164 267 0 NA NA NA NA 2125 8683 1201 NA NA NA NA 2941 8845 1328 NA NA NA
1458428400.0 134.702 NA 99 196 0 NA NA NA NA 163 263 0 NA NA NA NA 2497 9707 1148 NA NA NA NA 2735 10329 1242 NA NA NA
1458428400.0 134.703 NA 101 209 0 NA NA NA NA 164 274 0 NA NA NA NA 2511 9495 1179 NA NA NA NA 2732 10207 1215 NA NA NA
1458428400.0 134.704 NA 99 203 0 NA NA NA NA 160 265 0 NA NA NA NA 1665 6696 819 NA NA NA NA 1737 10312 841 NA NA NA
1458428400.0 134.705 NA 101 205 0 NA NA NA NA 165 272 0 NA NA NA NA 2456 10347 1065 NA NA NA NA 2655 11037 1105 NA NA NA
1458428400.0 134.706 NA 101 211 0 NA NA NA NA 163 269 0 NA NA NA NA 2406 5731 637 NA NA NA NA 2559 5811 645 NA NA NA
1458428400.0 134.707 NA 102 197 0 NA NA NA NA 164 262 0 NA NA NA NA 1927 6685 803 NA NA NA NA 2213 8827 815 NA NA NA
1458428400.0 134.708 NA 101 199 0 NA NA NA NA 166 264 0 NA NA NA NA 1886 6222 816 NA NA NA NA 2496 7373 960 NA NA NA
1458428400.0 134.709 NA 100 217 0 NA NA NA NA 162 289 0 NA NA NA NA 2366 10048 1100 NA NA NA NA 2532 10576 1180 NA NA NA
1458428400.0 134.71 NA 92 206 0 NA NA NA NA 158 258 0 NA NA NA NA 1119 4521 813 NA NA NA NA 1808 4634 830 NA NA NA
