Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459198800.0 1102.0 NA 83 183 113 64 NA 147 244 159 107 NA 2228 3170 1979 156 NA 2283 4033 2105 176
1459198800.0 134.702 NA 34 214 0 NA NA 81 272 0 NA NA 170 6530 524 NA NA 203 7989 586 NA
1459198800.0 134.704 NA 41 209 0 NA NA 84 276 0 NA NA 165 6434 493 NA NA 228 7101 529 NA
1459198800.0 134.705 NA 45 217 0 NA NA 83 281 0 NA NA 167 6855 520 NA NA 212 7801 536 NA
1459198800.0 134.706 NA 42 221 0 NA NA 84 281 0 NA NA 164 6888 553 NA NA 228 10269 585 NA
1459198800.0 134.707 NA 37 212 0 NA NA 82 275 0 NA NA 150 5993 493 NA NA 182 8178 524 NA
1459198800.0 134.806 NA 125 228 0 NA NA 177 293 0 NA NA 4908 15561 763 NA NA 5691 16150 881 NA
1459198800.0 134.807 NA 148 234 0 NA NA 215 300 0 NA NA 5045 14407 857 NA NA 5877 15390 981 NA
1459198800.0 134.808 NA 149 238 0 NA NA 212 306 0 NA NA 4651 14799 819 NA NA 5531 15572 936 NA
1459198800.0 134.902 NA 120 213 0 NA NA 175 279 0 NA NA 1755 6106 557 NA NA 2264 9913 585 NA
1459198800.0 134.903 NA 123 212 0 NA NA 177 279 0 NA NA 1667 5984 569 NA NA 2163 6829 642 NA
1459198800.0 134.905 NA 116 210 0 NA NA 180 279 0 NA NA 1587 5485 553 NA NA 1897 7258 585 NA
1459198800.0 134.908 NA 147 230 0 NA NA 214 296 0 NA NA 2162 5995 602 NA NA 2899 10989 688 NA
1459198800.0 134.909 NA 112 208 0 NA NA 178 279 0 NA NA 1801 5833 566 NA NA 2106 7278 598 NA
1459198800.0 134.911 NA 125 211 0 NA NA 178 279 0 NA NA 1818 5645 556 NA NA 2338 9327 582 NA
1459198800.0 204.0 52 90 196 0 NA 98 152 265 0 NA 4179 686 1215 594 NA 4583 1366 4554 615 NA
1459198800.0 25200.0 NA 169 284 0 NA NA 233 368 0 NA NA 5048 6185 1389 NA NA 8253 12604 1435 NA
1459198800.0 25400.0 227 0 95 NA NA 314 0 153 NA NA 3883 386 395 NA NA 8202 415 466 NA NA
1459198800.0 25402.0 233 0 96 NA NA 323 0 153 NA NA 4593 379 447 NA NA 7467 412 514 NA NA
1459198800.0 25406.0 218 0 95 NA NA 323 0 152 NA NA 3040 358 322 NA NA 8044 397 421 NA NA
1459198800.0 25408.0 237 0 97 NA NA 321 0 153 NA NA 8019 587 914 NA NA 10393 927 3277 NA NA
1459198800.0 25409.0 236 0 95 NA NA 324 0 153 NA NA 6260 599 682 NA NA 8120 921 3050 NA NA
1459198800.0 36.0 NA 84 186 0 NA NA 147 247 0 NA NA 3862 16230 970 NA NA 4008 16840 1157 NA
1459198800.0 4.42 NA 37 204 0 NA NA 78 271 0 NA NA 151 7056 477 NA NA 211 7619 507 NA
1459198800.0 4.45 NA 37 203 0 NA NA 77 270 0 NA NA 155 7671 513 NA NA 243 8351 568 NA
1459198800.0 4.52 NA 38 202 0 NA NA 76 273 0 NA NA 158 7635 551 NA NA 200 8712 596 NA
1459198800.0 4.57 NA 54 215 0 NA NA 91 279 0 NA NA 152 9210 519 NA NA 200 12440 543 NA
1459198800.0 4.61 NA 30 213 0 NA NA 78 274 0 NA NA 162 7389 501 NA NA 213 10146 530 NA
1459198800.0 4.62 NA 37 205 0 NA NA 77 271 0 NA NA 155 7098 510 NA NA 215 7853 527 NA
1459198800.0 4.74 NA 39 208 0 NA NA 77 268 0 NA NA 156 6489 494 NA NA 195 8510 557 NA
1459198800.0 4.75 NA 38 207 0 NA NA 77 271 0 NA NA 162 7646 497 NA NA 196 9191 556 NA
1459198800.0 4.76 NA 48 206 0 NA NA 92 275 0 NA NA 131 6862 509 NA NA 227 8097 549 NA
1459198800.0 500200.0 NA 135 241 0 NA NA 200 317 0 NA NA 4497 2664 625 NA NA 7680 2942 655 NA
1459198800.0 500206.0 NA 111 231 0 NA NA 162 294 0 NA NA 4463 2369 627 NA NA 7375 2622 663 NA
1459198800.0 500207.0 NA 106 225 0 NA NA 160 289 0 NA NA 3800 1754 571 NA NA 5379 2154 636 NA
1459198800.0 50203.0 NA 100 245 0 NA NA 151 323 0 NA NA 1497 2542 630 NA NA 3073 5416 689 NA
1459198800.0 50206.0 NA 94 242 0 NA NA 153 321 0 NA NA 1468 2676 630 NA NA 3211 7290 665 NA
