Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459242000.0 134.801 NA 123 214 0 NA 175 282 0 NA 1940 8047 802 NA 2366 8682 819
1459242000.0 134.802 NA 126 217 0 NA 176 284 0 NA 2323 8942 620 NA 2693 12617 631
1459242000.0 134.809 NA 127 216 0 NA 176 284 0 NA 2373 8127 605 NA 2738 11679 624
1459242000.0 134.812 NA 119 211 0 NA 171 278 0 NA 1750 7882 809 NA 2195 8603 875
1459242000.0 134.901 NA 123 214 0 NA 173 279 0 NA 2107 8140 775 NA 2566 8623 785
1459242000.0 134.903 NA 126 211 0 NA 177 278 0 NA 1616 5900 639 NA 1996 10226 702
1459242000.0 134.912 NA 117 208 0 NA 171 275 0 NA 1822 7283 809 NA 2255 7987 873
1459242000.0 134.99603 NA 127 213 0 NA 177 283 0 NA 2024 7831 653 NA 2431 10932 712
1459242000.0 25402.0 208 0 104 NA 311 0 152 NA 4330 370 493 NA 12016 388 566 NA
1459242000.0 25408.0 222 0 99 NA 320 0 152 NA 4943 416 547 NA 11053 432 640 NA
1459242000.0 25409.0 217 0 98 NA 316 0 152 NA 3808 390 471 NA 10296 406 561 NA
1459242000.0 4.42 NA 34 209 0 NA 78 271 0 NA 281 10853 693 NA 343 11611 711
1459242000.0 4.74 NA 34 206 0 NA 77 271 0 NA 279 10250 686 NA 343 11104 713
1459242000.0 50204.0 NA 101 251 0 NA 153 329 0 NA 2676 4767 853 NA 4661 8795 891
