Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1458943200.0 10224.0 NA 129 279 0 NA 187 353 0 NA 4498 7021 942 NA 12178 13606 952
1458943200.0 10225.0 NA 142 290 0 NA 191 353 0 NA 4619 6880 922 NA 12492 13535 940
1458943200.0 1303.0 73 140 200 NA 118 184 246 NA 20696 1316 2073 NA 20788 1364 2120 NA
1458943200.0 134.802 NA 129 263 0 NA 187 307 0 NA 3974 16125 991 NA 4054 16199 1003
1458943200.0 134.804 NA 139 265 0 NA 190 316 0 NA 3982 16069 961 NA 4043 16171 969
1458943200.0 134.805 NA 131 275 0 NA 199 323 0 NA 4497 15789 984 NA 4572 15851 994
1458943200.0 134.806 NA 131 263 0 NA 191 315 0 NA 5126 17667 998 NA 5239 17744 1013
1458943200.0 134.807 NA 175 275 0 NA 226 328 0 NA 5035 15831 1060 NA 5158 15927 1072
1458943200.0 134.808 NA 173 273 0 NA 223 330 0 NA 4711 16289 1053 NA 4804 16367 1069
1458943200.0 134.811 NA 131 260 0 NA 197 311 0 NA 4115 16009 942 NA 4178 16088 959
1458943200.0 250200.0 NA 341 283 0 NA 418 420 0 NA 16731 5441 1655 NA 17170 5490 1668
1458943200.0 250202.0 NA 219 296 0 NA 275 351 0 NA 20871 6777 1680 NA 21282 6830 1690
1458943200.0 250203.0 NA 213 284 0 NA 265 347 0 NA 17958 6278 1686 NA 18703 6353 1696
1458943200.0 250204.0 NA 214 287 0 NA 273 345 0 NA 19010 5535 1644 NA 19866 5597 1660
1458943200.0 250205.0 NA 215 280 0 NA 273 344 0 NA 16749 4871 1673 NA 17514 4935 1696
1458943200.0 250206.0 NA 215 291 0 NA 267 348 0 NA 18662 6478 1680 NA 19534 6550 1691
1458943200.0 250207.0 NA 195 300 0 NA 263 343 0 NA 15236 4814 1636 NA 15837 4857 1645
1458943200.0 25202.0 NA 184 327 0 NA 255 406 0 NA 5133 7791 1699 NA 8464 11198 1726
1458943200.0 25206.0 NA 185 344 0 NA 253 414 0 NA 5102 8440 1681 NA 8015 10866 1693
1458943200.0 25208.0 NA 188 338 0 NA 260 417 0 NA 6140 11577 1722 NA 8625 15727 1733
1458943200.0 25209.0 NA 182 330 0 NA 249 402 0 NA 4973 8137 1663 NA 7953 10437 1680
1458943200.0 25409.0 271 0 116 NA 345 0 162 NA 7166 615 629 NA 10782 620 664 NA
1458943200.0 36.0 NA 92 216 0 NA 154 267 0 NA 4107 19691 1046 NA 4150 19757 1058
1458943200.0 4.65 NA 49 249 0 NA 85 303 0 NA 259 22574 865 NA 277 22667 875
