Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1457604000.0 124.6 160 NA NA NA NA NA 224 NA NA NA NA NA 633 NA NA NA NA NA 680 NA NA NA NA NA
1457604000.0 125.0 51 75 185 NA NA NA 98 148 250 NA NA NA 9262 782 1102 NA NA NA 9639 1324 1173 NA NA NA
1457604000.0 126.0 42 74 183 NA NA NA 87 147 249 NA NA NA 1405 435 599 NA NA NA 1505 468 616 NA NA NA
1457604000.0 127.0 41 73 183 NA NA NA 86 147 250 NA NA NA 1318 433 624 NA NA NA 1390 522 658 NA NA NA
1457604000.0 128.0 40 72 182 NA NA NA 81 147 249 NA NA NA 560 448 655 NA NA NA 576 478 697 NA NA NA
1457604000.0 129.0 42 73 181 NA NA NA 86 147 249 NA NA NA 566 475 662 NA NA NA 583 502 719 NA NA NA
1457604000.0 13.0 NA 72 184 0 NA NA NA 150 249 0 NA NA NA 351 1140 708 NA NA NA 400 1261 720 NA NA
1457604000.0 130.0 42 74 182 NA NA NA 82 147 249 NA NA NA 731 447 667 NA NA NA 967 505 732 NA NA NA
1457604000.0 1301.0 56 121 210 NA NA NA 102 177 283 NA NA NA 2357 629 2373 NA NA NA 3063 836 5517 NA NA NA
1457604000.0 1302.0 59 123 225 NA NA NA 107 178 284 NA NA NA 9461 820 2379 NA NA NA 10699 904 3082 NA NA NA
1457604000.0 1303.0 63 127 223 NA NA NA 109 178 295 NA NA NA 12169 910 3087 NA NA NA 15544 2203 3206 NA NA NA
1457604000.0 1306.0 NA 132 279 0 NA NA NA 191 357 0 NA NA NA 655 1394 1322 NA NA NA 769 1596 1350 NA NA
1457604000.0 1307.0 NA 117 124 47 0 NA NA 184 199 80 0 NA NA 596 617 49 370 NA NA 731 1017 58 377 NA
