Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1457474400.0 1.0 51 68 0 NA NA 167 236 0 NA NA 2385 396 0 NA NA 2450 414 0 NA NA
1457474400.0 10.0 NA 76 0 NA NA NA 241 0 NA NA NA 2857 0 NA NA NA 3549 0 NA NA
1457474400.0 1000.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1457474400.0 1001.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1457474400.0 1002.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1457474400.0 10021.0 NA 73 0 NA NA NA 255 0 NA NA NA 1130 0 NA NA NA 1263 0 NA NA
1457474400.0 10023.0 NA 76 0 NA NA NA 255 0 NA NA NA 690 0 NA NA NA 810 0 NA NA
1457474400.0 10024.0 NA 80 0 NA NA NA 255 0 NA NA NA 1070 0 NA NA NA 1196 0 NA NA
1457474400.0 10025.0 NA 75 0 NA NA NA 255 0 NA NA NA 794 0 NA NA NA 853 0 NA NA
1457474400.0 10026.0 NA 79 0 NA NA NA 255 0 NA NA NA 1063 0 NA NA NA 1204 0 NA NA
1457474400.0 1003.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1457474400.0 1004.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1457474400.0 101.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1457474400.0 102.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1457474400.0 10224.0 NA 115 0 NA NA NA 267 0 NA NA NA 2815 0 NA NA NA 13505 0 NA NA
1457474400.0 10225.0 NA 109 0 NA NA NA 267 0 NA NA NA 2828 0 NA NA NA 13214 0 NA NA
1457474400.0 103.0 48 73 0 NA NA 162 238 0 NA NA 800 281 0 NA NA 819 299 0 NA NA
1457474400.0 105.0 53 82 24 NA NA 167 238 126 NA NA 1882 398 4 NA NA 2106 414 8 NA NA
1457474400.0 106.0 37 0 0 NA NA 147 0 0 NA NA 435 104 0 NA NA 544 171 0 NA NA
1457474400.0 107.0 52 72 0 NA NA 168 238 0 NA NA 4603 659 0 NA NA 5080 738 0 NA NA
1457474400.0 108.0 56 75 0 NA NA 171 238 0 NA NA 5201 466 0 NA NA 5256 502 0 NA NA
1457474400.0 109.0 55 79 0 NA NA 171 238 0 NA NA 6069 471 0 NA NA 6172 498 0 NA NA
1457474400.0 11.0 NA 75 0 NA NA NA 241 0 NA NA NA 2655 0 NA NA NA 2901 0 NA NA
1457474400.0 110.0 45 72 0 NA NA 158 238 0 NA NA 736 424 0 NA NA 750 444 0 NA NA
1457474400.0 1102.0 NA 76 0 NA NA NA 241 0 NA NA NA 3367 0 NA NA NA 3840 0 NA NA
1457474400.0 111.0 52 74 0 NA NA 168 238 0 NA NA 2637 539 0 NA NA 2765 586 0 NA NA
1457474400.0 112.0 53 74 0 NA NA 169 238 0 NA NA 4602 684 0 NA NA 5011 769 0 NA NA
1457474400.0 113.0 53 74 0 NA NA 169 238 0 NA NA 4376 706 0 NA NA 4794 796 0 NA NA
1457474400.0 114.0 52 72 0 NA NA 168 238 0 NA NA 4255 714 0 NA NA 4707 823 0 NA NA
1457474400.0 115.0 53 74 0 NA NA 170 238 0 NA NA 6078 642 0 NA NA 6249 725 0 NA NA
1457474400.0 116.0 53 74 0 NA NA 170 238 0 NA NA 6211 648 0 NA NA 6363 761 0 NA NA
