Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1458079200.0 1.0 51 69 120 NA NA 167 236 286 NA NA 3547 643 822 NA NA 3896 662 903 NA NA
1458079200.0 10.0 NA 82 NA NA NA NA 241 NA NA NA NA 2548 NA NA NA NA 2628 NA NA NA
1458079200.0 1000.0 NA 191 NA NA NA NA 393 NA NA NA NA 765 NA NA NA NA 815 NA NA NA
1458079200.0 10021.0 NA 73 136 0 NA NA 254 352 0 NA NA 1219 1593 381 NA NA 1958 1715 408 NA
1458079200.0 10023.0 NA 76 137 0 NA NA 256 353 0 NA NA 771 917 344 NA NA 1675 1015 368 NA
1458079200.0 10024.0 NA 81 138 NA NA NA 255 353 NA NA NA 1238 1359 NA NA NA 1353 1460 NA NA
1458079200.0 10025.0 NA 75 NA NA NA NA 256 NA NA NA NA 792 NA NA NA NA 909 NA NA NA
1458079200.0 10026.0 NA 79 NA NA NA NA 255 NA NA NA NA 1384 NA NA NA NA 1818 NA NA NA
1458079200.0 101.0 90 NA NA NA NA 237 NA NA NA NA 1456 NA NA NA NA 1576 NA NA NA NA
1458079200.0 102.0 91 NA NA NA NA 237 NA NA NA NA 1037 NA NA NA NA 1093 NA NA NA NA
1458079200.0 10224.0 NA 115 NA NA NA NA 271 NA NA NA NA 3021 NA NA NA NA 12187 NA NA NA
1458079200.0 10225.0 NA 108 NA NA NA NA 265 NA NA NA NA 3130 NA NA NA NA 12718 NA NA NA
1458079200.0 103.0 47 72 179 NA NA 162 239 393 NA NA 903 325 712 NA NA 946 359 755 NA NA
1458079200.0 105.0 52 75 24 NA NA 168 239 127 NA NA 2210 466 4 NA NA 2507 488 9 NA NA
1458079200.0 106.0 36 0 0 NA NA 148 0 0 NA NA 497 121 221 NA NA 513 133 273 NA NA
1458079200.0 107.0 53 73 181 NA NA 168 238 387 NA NA 5200 700 1100 NA NA 5405 729 1785 NA NA
1458079200.0 108.0 55 74 NA NA NA 172 239 NA NA NA 6441 573 NA NA NA 6715 635 NA NA NA
1458079200.0 109.0 59 80 NA NA NA 172 239 NA NA NA 6543 505 NA NA NA 6920 531 NA NA NA
1458079200.0 11.0 NA 76 NA NA NA NA 240 NA NA NA NA 3150 NA NA NA NA 3528 NA NA NA
1458079200.0 110.0 45 72 183 NA NA 159 239 393 NA NA 846 447 688 NA NA 931 467 716 NA NA
1458079200.0 1102.0 NA 78 NA NA NA NA 240 NA NA NA NA 2578 NA NA NA NA 2661 NA NA NA
1458079200.0 111.0 53 83 NA NA NA 168 238 NA NA NA 2461 430 NA NA NA 2940 475 NA NA NA
1458079200.0 112.0 55 74 183 NA NA 168 238 392 NA NA 5141 712 1054 NA NA 5290 846 1233 NA NA
1458079200.0 113.0 56 85 NA NA NA 169 238 NA NA NA 4878 700 NA NA NA 5022 735 NA NA NA
1458079200.0 114.0 53 74 NA NA NA 168 238 NA NA NA 4800 708 NA NA NA 4985 1234 NA NA NA
1458079200.0 115.0 56 82 NA NA NA 171 239 NA NA NA 5060 617 NA NA NA 5497 652 NA NA NA
1458079200.0 116.0 55 83 NA NA NA 169 238 NA NA NA 6140 711 NA NA NA 6544 864 NA NA NA
