Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1459033200.0 1319.0 NA 127 218 0 NA NA NA 186 295 0 NA NA NA 508 582 787 NA NA NA 576 959 874 NA NA
1459033200.0 132.0 51 82 178 NA NA NA 96 145 243 NA NA NA 2725 398 516 NA NA NA 2962 419 750 NA NA NA
1459033200.0 1320.0 NA 128 218 0 NA NA NA 188 295 0 NA NA NA 497 630 805 NA NA NA 606 848 848 NA NA
1459033200.0 1321.0 NA 124 217 0 NA NA NA 188 295 0 NA NA NA 542 719 920 NA NA NA 599 1209 936 NA NA
1459033200.0 1322.0 NA 129 217 0 NA NA NA 188 295 0 NA NA NA 530 723 752 NA NA NA 569 1102 833 NA NA
1459033200.0 1323.0 NA 126 215 0 NA NA NA 186 295 0 NA NA NA 486 556 730 NA NA NA 548 808 928 NA NA
1459033200.0 1324.0 NA 133 222 0 NA NA NA 194 296 0 NA NA NA 676 861 931 NA NA NA 769 1253 954 NA NA
1459033200.0 1325.0 NA 130 224 0 62 NA NA 195 296 0 103 NA NA 729 1351 1255 180 NA NA 979 1619 1326 239 NA
1459033200.0 133.0 55 74 183 NA NA NA 102 146 243 NA NA NA 10023 697 985 NA NA NA 10164 781 1029 NA NA NA
1459033200.0 1331.0 NA 131 218 0 NA NA NA 190 295 0 NA NA NA 633 1027 1181 NA NA NA 770 1298 1209 NA NA
1459033200.0 134.0 NA 198 31 0 NA NA NA 265 70 0 NA NA NA 2341 10 8 NA NA NA 3022 26 73 NA NA
1459033200.0 134.701 NA 41 217 0 NA NA NA 85 281 0 NA NA NA 193 6694 694 NA NA NA 252 7060 722 NA NA
1459033200.0 134.702 NA 34 211 0 NA NA NA 82 276 0 NA NA NA 198 9034 695 NA NA NA 255 9400 711 NA NA
1459033200.0 134.704 NA 34 213 0 NA NA NA 85 276 0 NA NA NA 200 8519 690 NA NA NA 264 8893 726 NA NA
1459033200.0 134.705 NA 36 219 0 NA NA NA 84 285 0 NA NA NA 203 9436 682 NA NA NA 297 9822 700 NA NA
1459033200.0 134.706 NA 35 219 0 NA NA NA 85 283 0 NA NA NA 189 7055 563 NA NA NA 218 7708 583 NA NA
1459033200.0 134.707 NA 35 212 0 NA NA NA 83 276 0 NA NA NA 193 8623 691 NA NA NA 212 8935 727 NA NA
1459033200.0 134.708 NA 34 212 0 NA NA NA 82 274 0 NA NA NA 197 8135 730 NA NA NA 250 8493 770 NA NA
1459033200.0 134.709 NA 36 220 0 NA NA NA 84 286 0 NA NA NA 171 6508 569 NA NA NA 256 7105 611 NA NA
1459033200.0 134.801 NA 116 214 0 NA NA NA 176 282 0 NA NA NA 1610 6562 762 NA NA NA 1757 6882 787 NA NA
1459033200.0 134.805 NA 117 226 0 NA NA NA 185 296 0 NA NA NA 2658 8313 496 NA NA NA 3129 8795 671 NA NA
1459033200.0 134.806 NA 121 231 0 NA NA NA 178 294 0 NA NA NA 2337 8580 547 NA NA NA 2867 11121 562 NA NA
1459033200.0 134.807 NA 147 248 0 NA NA NA 215 301 0 NA NA NA 2429 7754 594 NA NA NA 2912 10177 613 NA NA
1459033200.0 134.809 NA 113 220 0 NA NA NA 177 285 0 NA NA NA 2399 7894 573 NA NA NA 2846 8267 628 NA NA
1459033200.0 134.81 NA 112 219 0 NA NA NA 176 286 0 NA NA NA 2180 8004 544 NA NA NA 2675 8384 594 NA NA
1459033200.0 134.811 NA 119 227 0 NA NA NA 182 289 0 NA NA NA 1957 7772 536 NA NA NA 2516 10160 558 NA NA
1459033200.0 134.812 NA 113 211 0 NA NA NA 172 279 0 NA NA NA 1439 6580 762 NA NA NA 1570 6880 798 NA NA
1459033200.0 134.901 NA 119 213 0 NA NA NA 174 280 0 NA NA NA 1804 6624 775 NA NA NA 1950 6883 806 NA NA
1459033200.0 134.902 NA 112 215 0 NA NA NA 179 279 0 NA NA NA 1840 6026 570 NA NA NA 2352 6585 586 NA NA
1459033200.0 134.903 NA 117 216 0 NA NA NA 178 279 0 NA NA NA 2040 7610 732 NA NA NA 2205 8110 749 NA NA
1459033200.0 134.905 NA 116 212 0 NA NA NA 181 279 0 NA NA NA 2152 7559 731 NA NA NA 2319 7981 775 NA NA
1459033200.0 134.906 NA 114 218 0 NA NA NA 178 282 0 NA NA NA 2148 6686 586 NA NA NA 2621 7046 600 NA NA
1459033200.0 134.907 NA 136 233 0 NA NA NA 216 293 0 NA NA NA 2323 5992 626 NA NA NA 2771 6412 643 NA NA
1459033200.0 134.908 NA 146 235 0 NA NA NA 215 297 0 NA NA NA 2816 8026 602 NA NA NA 3103 8528 632 NA NA
1459033200.0 134.909 NA 117 212 0 NA NA NA 179 279 0 NA NA NA 2287 8094 697 NA NA NA 2426 8614 714 NA NA
1459033200.0 134.91 NA 118 212 0 NA NA NA 179 279 0 NA NA NA 2066 7194 739 NA NA NA 2227 7783 771 NA NA
1459033200.0 134.911 NA 114 218 0 NA NA NA 179 282 0 NA NA NA 1875 5775 581 NA NA NA 2432 6335 600 NA NA
1459033200.0 134.912 NA 113 208 0 NA NA NA 172 276 0 NA NA NA 1502 5928 789 NA NA NA 1651 6237 829 NA NA
1459033200.0 134.99602 NA 118 212 0 NA NA NA 175 279 0 NA NA NA 1529 7105 765 NA NA NA 1663 7599 796 NA NA
1459033200.0 1340.0 NA 133 218 0 NA NA NA 192 296 0 NA NA NA 650 1070 1174 NA NA NA 800 1408 1193 NA NA
1459033200.0 1343.0 NA 130 220 0 NA NA NA 194 296 0 NA NA NA 652 1266 1290 NA NA NA 856 1545 1331 NA NA
1459033200.0 1344.0 NA 129 221 0 NA NA NA 192 295 0 NA NA NA 631 1142 1227 NA NA NA 779 1388 1278 NA NA
1459033200.0 1345.0 NA 134 225 0 NA NA NA 195 296 0 NA NA NA 570 824 952 NA NA NA 686 886 987 NA NA
1459033200.0 1348.0 NA 128 221 0 NA NA NA 189 295 0 NA NA NA 544 599 855 NA NA NA 600 998 983 NA NA
1459033200.0 135.1 195 0 93 NA NA NA 265 0 152 NA NA NA 1294 444 355 NA NA NA 1487 458 411 NA NA NA
1459033200.0 135.11 195 0 93 NA NA NA 271 0 152 NA NA NA 1825 463 441 NA NA NA 2051 499 495 NA NA NA
1459033200.0 1350.0 NA 129 223 0 NA NA NA 190 296 0 NA NA NA 567 657 841 NA NA NA 631 1065 943 NA NA
1459033200.0 1353.0 NA 135 220 0 NA NA NA 194 296 0 NA NA NA 706 1126 1207 NA NA NA 834 1373 1244 NA NA
1459033200.0 1356.0 61 128 235 0 94 NA 108 183 297 0 155 NA 4877 661 936 1020 255 NA 5344 764 1213 1050 307 NA
1459033200.0 1360.0 14 70 135 229 0 NA 117 113 187 296 0 NA 10 3749 526 787 818 NA 1813 3917 653 1068 1458 NA
1459033200.0 139901.0 NA 130 221 0 NA NA NA 194 296 0 NA NA NA 586 716 769 NA NA NA 650 1051 815 NA NA
1459033200.0 13992501.0 NA 172 281 0 NA NA NA 236 373 0 NA NA NA 2646 4208 918 NA NA NA 5206 8172 937 NA NA
1459033200.0 13992502.0 NA 166 273 0 NA NA NA 233 371 0 NA NA NA 2546 3592 956 NA NA NA 5015 7187 973 NA NA
1459033200.0 140.1 NA 114 180 0 NA NA NA 172 246 0 NA NA NA 270 391 238 NA NA NA 350 671 287 NA NA
1459033200.0 140.2 NA 112 179 0 NA NA NA 172 246 0 NA NA NA 270 433 209 NA NA NA 686 594 225 NA NA
1459033200.0 140.4 NA 114 182 0 NA NA NA 173 246 0 NA NA NA 279 408 224 NA NA NA 529 810 248 NA NA
1459033200.0 140.51 NA 27 165 0 NA NA NA 70 221 0 NA NA NA 526 1354 250 NA NA NA 1066 1504 262 NA NA
1459033200.0 140.53 NA 202 0 NA NA NA NA 273 0 NA NA NA NA 3569 238 NA NA NA NA 3918 335 NA NA NA
1459033200.0 144.6 NA 196 NA NA NA NA NA 262 NA NA NA NA NA 1486 NA NA NA NA NA 1588 NA NA NA NA
1459033200.0 145.0 NA 202 261 0 NA NA NA 283 335 0 NA NA NA 4447 4865 367 NA NA NA 4607 5087 388 NA NA
1459033200.0 15.0 NA 72 179 0 NA NA NA 148 244 0 NA NA NA 1782 820 475 NA NA NA 1854 1311 506 NA NA
1459033200.0 16.0 NA 75 181 0 NA NA NA 148 243 0 NA NA NA 1875 1133 478 NA NA NA 1988 1444 498 NA NA
1459033200.0 17.0 NA 72 180 0 NA NA NA 148 244 0 NA NA NA 1867 971 476 NA NA NA 1971 1315 490 NA NA
1459033200.0 18.0 NA 72 179 0 NA NA NA 148 244 0 NA NA NA 1719 716 440 NA NA NA 1859 1183 488 NA NA
1459033200.0 19.0 NA 72 178 0 NA NA NA 148 244 0 NA NA NA 1804 786 481 NA NA NA 1870 1315 513 NA NA
1459033200.0 2.0 54 72 121 NA NA NA 101 144 176 NA NA NA 8357 596 735 NA NA NA 8499 662 791 NA NA NA
1459033200.0 20.0 NA 76 178 0 NA NA NA 148 244 0 NA NA NA 1847 1109 434 NA NA NA 1905 1622 484 NA NA
1459033200.0 23.0 NA 75 180 0 NA NA NA 148 243 0 NA NA NA 2533 2379 783 NA NA NA 2948 2670 799 NA NA
1459033200.0 25.0 NA 76 193 0 56 NA NA 148 255 0 94 NA NA 3281 4404 858 86 NA NA 3376 4575 894 102 NA
1459033200.0 250199.0 125 NA NA NA NA NA 189 NA NA NA NA NA 2577 NA NA NA NA NA 5139 NA NA NA NA NA
1459033200.0 250200.0 NA 301 247 0 NA NA NA 376 381 0 NA NA NA 8304 2652 847 NA NA NA 9881 3562 862 NA NA
1459033200.0 250200.1 62 161 166 NA NA NA 108 227 233 NA NA NA 6481 1847 2575 NA NA NA 6627 2211 2853 NA NA NA
1459033200.0 250202.0 NA 188 254 0 NA NA NA 252 325 0 NA NA NA 10376 3357 853 NA NA NA 12569 3493 893 NA NA
1459033200.0 250203.0 NA 185 248 0 NA NA NA 253 324 0 NA NA NA 9147 3108 920 NA NA NA 11436 3231 950 NA NA
1459033200.0 250204.0 NA 184 245 0 NA NA NA 256 316 0 NA NA NA 9529 2785 901 NA NA NA 11069 3029 922 NA NA
1459033200.0 250205.0 NA 186 247 0 NA NA NA 265 319 0 NA NA NA 8504 2379 977 NA NA NA 10127 3221 998 NA NA
1459033200.0 250206.0 NA 188 247 0 NA NA NA 251 323 0 NA NA NA 9232 3298 877 NA NA NA 11467 3459 908 NA NA
1459033200.0 250207.0 NA 179 245 0 NA NA NA 249 316 0 NA NA NA 7703 2410 879 NA NA NA 9764 3231 898 NA NA
1459033200.0 250399.0 104 NA NA NA NA NA 190 NA NA NA NA NA 774 NA NA NA NA NA 4202 NA NA NA NA NA
1459033200.0 250400.0 199 0 93 NA NA NA 280 0 153 NA NA NA 1729 443 544 NA NA NA 2022 483 615 NA NA NA
1459033200.0 250402.0 200 0 93 NA NA NA 280 0 153 NA NA NA 1958 468 653 NA NA NA 2336 497 730 NA NA NA
1459033200.0 250403.0 199 0 93 NA NA NA 277 0 153 NA NA NA 1757 436 598 NA NA NA 2133 467 692 NA NA NA
1459033200.0 250405.0 198 0 93 NA NA NA 278 0 153 NA NA NA 1613 434 525 NA NA NA 1874 470 574 NA NA NA
1459033200.0 250406.0 197 0 92 NA NA NA 281 0 153 NA NA NA 1545 423 450 NA NA NA 1814 443 492 NA NA NA
1459033200.0 250407.0 183 0 93 NA NA NA 260 0 154 NA NA NA 1522 367 466 NA NA NA 1786 385 505 NA NA NA
1459033200.0 250408.0 196 0 94 NA NA NA 277 0 153 NA NA NA 1760 446 534 NA NA NA 2078 476 610 NA NA NA
1459033200.0 250409.0 203 0 94 NA NA NA 286 0 153 NA NA NA 2408 476 727 NA NA NA 2756 510 812 NA NA NA
1459033200.0 25200.0 NA 165 276 0 NA NA NA 233 374 0 NA NA NA 2455 3529 938 NA NA NA 5029 7565 966 NA NA
1459033200.0 25202.0 NA 170 280 0 NA NA NA 237 375 0 NA NA NA 2571 3974 930 NA NA NA 5106 8011 954 NA NA
1459033200.0 25203.0 NA 165 276 0 NA NA NA 235 370 0 NA NA NA 2514 3732 904 NA NA NA 4971 7346 920 NA NA
1459033200.0 25204.0 NA 168 279 0 NA NA NA 232 371 0 NA NA NA 2488 3581 880 NA NA NA 4783 7373 954 NA NA
1459033200.0 25205.0 NA 165 285 0 NA NA NA 236 374 0 NA NA NA 2630 3515 899 NA NA NA 5463 7546 916 NA NA
1459033200.0 25206.0 NA 166 292 0 NA NA NA 235 384 0 NA NA NA 2904 4469 938 NA NA NA 5772 8551 955 NA NA
1459033200.0 25207.0 NA 157 270 0 NA NA NA 229 363 0 NA NA NA 2646 2908 915 NA NA NA 5199 5108 969 NA NA
1459033200.0 25208.0 NA 173 292 0 NA NA NA 239 388 0 NA NA NA 3068 5932 974 NA NA NA 5331 9784 1006 NA NA
1459033200.0 25209.0 NA 170 292 0 NA NA NA 239 385 0 NA NA NA 2808 4527 935 NA NA NA 5322 8285 961 NA NA
1459033200.0 25400.0 224 0 94 NA NA NA 311 0 153 NA NA NA 3634 349 372 NA NA NA 5747 365 407 NA NA NA
1459033200.0 25402.0 226 0 93 NA NA NA 314 0 153 NA NA NA 4182 359 387 NA NA NA 8367 385 601 NA NA NA
1459033200.0 25403.0 228 0 93 NA NA NA 319 0 153 NA NA NA 3446 331 362 NA NA NA 7172 343 422 NA NA NA
1459033200.0 25407.0 213 0 93 NA NA NA 306 0 154 NA NA NA 3872 432 397 NA NA NA 5350 550 477 NA NA NA
1459033200.0 25408.0 228 0 94 NA NA NA 323 0 153 NA NA NA 4871 365 417 NA NA NA 8434 396 600 NA NA NA
1459033200.0 25409.0 230 0 93 NA NA NA 319 0 153 NA NA NA 3564 350 406 NA NA NA 7261 367 472 NA NA NA
1459033200.0 26.0 NA 74 190 0 NA NA NA 148 251 0 NA NA NA 2401 2028 771 NA NA NA 2798 2393 797 NA NA
1459033200.0 280.0 83 82 179 0 NA NA 171 146 239 0 NA NA 7318 583 786 722 NA NA 7393 625 863 763 NA NA
1459033200.0 3.0 54 70 120 NA NA NA 102 144 174 NA NA NA 12634 430 963 NA NA NA 13241 598 1092 NA NA NA
1459033200.0 300.0 66 146 232 0 NA NA 120 220 302 0 NA NA 4072 1248 1542 358 NA NA 4244 1367 1751 393 NA NA
1459033200.0 301.0 69 150 234 0 NA NA 120 220 305 0 NA NA 5282 1292 1538 366 NA NA 5459 1461 1746 395 NA NA
1459033200.0 302.0 66 148 234 0 NA NA 119 217 304 0 NA NA 3395 1315 1537 369 NA NA 3546 1467 1772 390 NA NA
1459033200.0 31.0 NA 74 182 0 NA NA NA 148 243 0 NA NA NA 1989 1439 532 NA NA NA 2171 1516 549 NA NA
1459033200.0 33.0 NA 73 179 0 NA NA NA 148 243 0 NA NA NA 2517 1882 673 NA NA NA 2774 2152 697 NA NA
1459033200.0 35.0 NA 75 181 0 NA NA NA 148 243 0 NA NA NA 2684 2545 752 NA NA NA 2916 2693 875 NA NA
1459033200.0 36.0 NA 75 184 0 NA NA NA 148 247 0 NA NA NA 2170 10555 484 NA NA NA 2361 10877 620 NA NA
1459033200.0 37.0 NA 83 186 0 NA NA NA 148 244 0 NA NA NA 3308 4585 810 NA NA NA 3413 4778 838 NA NA
1459033200.0 39.0 NA 78 183 0 NA NA NA 148 246 0 NA NA NA 3241 7492 803 NA NA NA 3346 7747 824 NA NA
1459033200.0 4.22 NA 115 49 54 0 NA NA 197 90 105 0 NA NA 669 59 74 106 NA NA 707 72 111 111 NA
1459033200.0 4.26 NA 49 203 0 NA NA NA 94 265 0 NA NA NA 110 3857 716 NA NA NA 280 4190 736 NA NA
1459033200.0 4.34 NA 61 206 0 NA NA NA 108 268 0 NA NA NA 217 4384 730 NA NA NA 311 4571 766 NA NA
1459033200.0 4.41 NA 33 205 0 NA NA NA 78 265 0 NA NA NA 168 7605 685 NA NA NA 293 7850 720 NA NA
1459033200.0 4.45 NA 31 207 0 NA NA NA 79 271 0 NA NA NA 195 10370 688 NA NA NA 291 10737 719 NA NA
1459033200.0 4.51 NA 33 209 0 NA NA NA 78 273 0 NA NA NA 170 8385 686 NA NA NA 270 8616 707 NA NA
1459033200.0 4.52 NA 30 208 0 NA NA NA 77 274 0 NA NA NA 190 10590 615 NA NA NA 229 10952 630 NA NA
