Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1459198800.0 10.0 NA 77 183 0 NA NA NA NA 148 244 0 NA NA NA NA 2095 2201 591 NA NA NA NA 2430 2501 672 NA NA NA
1459198800.0 1000.0 NA 197 109 0 45 NA NA NA 264 162 0 77 NA NA NA 2237 452 453 138 NA NA NA 2322 531 495 178 NA NA
1459198800.0 1001.0 NA 172 367 0 0 0 0 NA 233 409 0 0 0 0 NA 2193 4686 102 88 1783 91 NA 2440 10734 112 90 2030 200
1459198800.0 1004.0 NA 172 NA NA NA NA NA NA 232 NA NA NA NA NA NA 544 NA NA NA NA NA NA 747 NA NA NA NA NA
1459198800.0 101.0 77 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1337 NA NA NA NA NA NA 1375 NA NA NA NA NA NA
1459198800.0 102.0 78 NA NA NA NA NA NA 136 NA NA NA NA NA NA 966 NA NA NA NA NA NA 1025 NA NA NA NA NA NA
1459198800.0 10224.0 NA 114 230 0 NA NA NA NA 174 324 0 NA NA NA NA 3187 4999 745 NA NA NA NA 7501 19548 789 NA NA NA
1459198800.0 10225.0 NA 112 229 0 NA NA NA NA 171 319 0 NA NA NA NA 3032 3934 590 NA NA NA NA 8010 15790 806 NA NA NA
1459198800.0 103.0 47 74 181 NA NA NA NA 92 146 243 NA NA NA NA 800 247 415 NA NA NA NA 850 278 506 NA NA NA NA
1459198800.0 105.0 50 78 24 NA NA NA NA 98 146 54 NA NA NA NA 2074 426 3 NA NA NA NA 2130 524 10 NA NA NA NA
1459198800.0 106.0 36 0 0 NA NA NA NA 77 0 0 NA NA NA NA 468 97 177 NA NA NA NA 493 107 195 NA NA NA NA
1459198800.0 107.0 53 72 179 NA NA NA NA 98 146 243 NA NA NA NA 3729 368 487 NA NA NA NA 4067 396 526 NA NA NA NA
1459198800.0 108.0 51 80 182 NA NA NA NA 101 146 243 NA NA NA NA 5213 390 611 NA NA NA NA 8073 430 888 NA NA NA NA
1459198800.0 109.0 56 75 184 NA NA NA NA 101 146 243 NA NA NA NA 6058 401 689 NA NA NA NA 6954 877 1619 NA NA NA NA
1459198800.0 11.0 NA 74 191 0 52 NA NA NA 147 254 0 89 NA NA NA 1642 916 625 42 NA NA NA 1814 1138 688 144 NA NA
1459198800.0 110.0 45 73 180 NA NA NA NA 89 146 243 NA NA NA NA 755 388 488 NA NA NA NA 788 411 521 NA NA NA NA
1459198800.0 1102.0 NA 76 183 104 64 NA NA NA 148 244 160 107 NA NA NA 2197 2969 1849 143 NA NA NA 2424 3225 2000 203 NA NA
