Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1458813600.0 1328.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1329.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 133.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1330.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1331.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1332.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1333.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1334.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1335.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1336.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1337.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1338.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1339.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.701 NA 41 0 NA 145 0 NA 147 0 NA 209 0
1458813600.0 134.702 NA 43 0 NA 145 0 NA 174 0 NA 205 0
1458813600.0 134.703 NA 44 0 NA 147 0 NA 152 0 NA 234 0
1458813600.0 134.704 NA 36 0 NA 147 0 NA 168 0 NA 196 0
1458813600.0 134.705 NA 37 0 NA 147 0 NA 169 0 NA 206 0
1458813600.0 134.706 NA 41 0 NA 147 0 NA 172 0 NA 244 0
1458813600.0 134.707 NA 35 0 NA 146 0 NA 156 0 NA 245 0
1458813600.0 134.708 NA 39 0 NA 145 0 NA 272 0 NA 356 0
1458813600.0 134.709 NA 45 0 NA 148 0 NA 154 0 NA 175 0
1458813600.0 134.71 NA 32 0 NA 142 0 NA 240 0 NA 337 0
1458813600.0 134.801 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.802 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.803 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.804 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.805 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.806 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.807 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.808 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.809 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.81 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.811 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.812 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.901 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.902 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.903 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.904 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.905 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.906 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.907 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.908 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.909 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.91 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.911 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.912 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.99601 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.99602 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.99603 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 134.99901 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1340.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1341.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1343.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1344.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1345.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1347.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1348.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 135.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.11 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.12 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.3 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.4 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.5 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.6 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.7 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.8 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 135.9 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1350.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1351.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1352.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1353.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1354.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1355.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1356.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1360.0 14 0 NA 167 0 NA 15 0 NA 3456 0 NA
1458813600.0 139901.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 139902.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 13992501.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 13992502.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 14.0 NA 52 NA NA 234 NA NA 142 NA NA 158 NA
1458813600.0 140.1 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 140.2 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 140.4 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 140.51 NA 34 0 NA 127 0 NA 580 0 NA 720 0
1458813600.0 140.52 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 140.53 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 144.6 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 145.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 15.0 NA 57 NA NA 234 NA NA 99 NA NA 113 NA
1458813600.0 16.0 NA 59 NA NA 234 NA NA 143 NA NA 243 NA
1458813600.0 17.0 NA 52 NA NA 234 NA NA 94 NA NA 452 NA
1458813600.0 18.0 NA 59 NA NA 234 NA NA 101 NA NA 115 NA
1458813600.0 19.0 NA 59 NA NA 234 NA NA 113 NA NA 320 NA
1458813600.0 2.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 20.0 NA 56 NA NA 235 NA NA 158 NA NA 273 NA
1458813600.0 200.0 NA 53 NA NA 235 NA NA 107 NA NA 120 NA
1458813600.0 202.0 NA 55 NA NA 235 NA NA 112 NA NA 260 NA
1458813600.0 203.0 NA 52 NA NA 235 NA NA 106 NA NA 131 NA
1458813600.0 204.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 205.0 NA 52 NA NA 235 NA NA 112 NA NA 133 NA
1458813600.0 21.0 NA 58 NA NA 234 NA NA 159 NA NA 273 NA
1458813600.0 22.0 NA 49 NA NA 234 NA NA 140 NA NA 158 NA
1458813600.0 23.0 NA 54 NA NA 234 NA NA 148 NA NA 233 NA
1458813600.0 24.0 NA 50 NA NA 234 NA NA 105 NA NA 193 NA
1458813600.0 25.0 NA 60 NA NA 234 NA NA 95 NA NA 108 NA
1458813600.0 250199.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250200.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250200.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250202.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250203.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250204.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250205.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250206.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250207.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 250399.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250400.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250402.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250403.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250405.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250406.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250407.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250408.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 250409.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25200.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25202.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25203.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25204.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25205.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25206.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25207.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25208.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25209.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 25400.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25402.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25403.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25405.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25406.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25407.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25408.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 25409.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 26.0 NA 50 NA NA 234 NA NA 149 NA NA 171 NA
1458813600.0 27.0 NA 51 NA NA 234 NA NA 145 NA NA 162 NA
1458813600.0 28.0 NA 62 NA NA 234 NA NA 94 NA NA 116 NA
1458813600.0 280.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 29.0 NA 52 NA NA 234 NA NA 149 NA NA 164 NA
1458813600.0 3.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 30.0 NA 61 NA NA 234 NA NA 138 NA NA 184 NA
1458813600.0 300.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 301.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 302.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 31.0 NA 60 NA NA 234 NA NA 141 NA NA 152 NA
1458813600.0 32.0 NA 60 NA NA 234 NA NA 148 NA NA 159 NA
1458813600.0 33.0 NA 60 NA NA 234 NA NA 139 NA NA 162 NA
1458813600.0 34.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 35.0 NA 55 NA NA 234 NA NA 146 NA NA 234 NA
1458813600.0 36.0 NA 52 NA NA 234 NA NA 167 NA NA 296 NA
1458813600.0 37.0 NA 60 NA NA 234 NA NA 106 NA NA 120 NA
1458813600.0 38.0 NA 60 NA NA 234 NA NA 103 NA NA 117 NA
1458813600.0 39.0 NA 52 NA NA 234 NA NA 103 NA NA 152 NA
1458813600.0 4.17 NA 42 0 NA 142 0 NA 109 0 NA 646 0
1458813600.0 4.22 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 4.23 NA 65 0 NA 174 0 NA 164 0 NA 235 0
1458813600.0 4.24 NA 51 0 NA 162 0 NA 116 0 NA 181 0
1458813600.0 4.25 NA 50 0 NA 160 0 NA 113 0 NA 202 0
1458813600.0 4.26 NA 59 0 NA 158 0 NA 97 0 NA 1106 0
1458813600.0 4.27 NA 59 0 NA 159 0 NA 122 0 NA 236 0
1458813600.0 4.28 NA 66 0 NA 176 0 NA 211 0 NA 576 0
1458813600.0 4.29 NA 33 0 NA 142 0 NA 197 0 NA 329 0
1458813600.0 4.34 NA 55 0 NA 171 0 NA 419 0 NA 493 0
1458813600.0 4.36 NA 58 0 NA 158 0 NA 201 0 NA 244 0
1458813600.0 4.37 NA 57 0 NA 158 0 NA 217 0 NA 248 0
1458813600.0 4.4 NA 32 0 NA 141 0 NA 209 0 NA 264 0
1458813600.0 4.41 NA 35 0 NA 140 0 NA 148 0 NA 217 0
1458813600.0 4.42 NA 35 0 NA 142 0 NA 158 0 NA 213 0
1458813600.0 4.43 NA 34 0 NA 142 0 NA 201 0 NA 231 0
1458813600.0 4.45 NA 33 0 NA 141 0 NA 169 0 NA 317 0
1458813600.0 4.51 NA 33 0 NA 141 0 NA 157 0 NA 222 0
1458813600.0 4.52 NA 38 0 NA 140 0 NA 168 0 NA 277 0
1458813600.0 4.53 NA 33 0 NA 141 0 NA 154 0 NA 235 0
1458813600.0 4.54 NA 32 0 NA 141 0 NA 195 0 NA 246 0
1458813600.0 4.55 NA 38 0 NA 140 0 NA 172 0 NA 265 0
1458813600.0 4.57 NA 49 0 NA 155 0 NA 167 0 NA 278 0
1458813600.0 4.58 NA 39 0 NA 150 0 NA 113 0 NA 140 0
1458813600.0 4.6 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 4.61 NA 39 0 NA 141 0 NA 196 0 NA 245 0
1458813600.0 4.62 NA 36 0 NA 141 0 NA 152 0 NA 220 0
1458813600.0 4.63 NA 39 0 NA 140 0 NA 159 0 NA 253 0
1458813600.0 4.64 NA 33 0 NA 139 0 NA 159 0 NA 285 0
1458813600.0 4.65 NA 35 0 NA 140 0 NA 313 0 NA 556 0
1458813600.0 4.67 NA 57 0 NA 156 0 NA 365 0 NA 528 0
1458813600.0 4.68 NA 48 0 NA 151 0 NA 249 0 NA 505 0
1458813600.0 4.71 NA 36 0 NA 142 0 NA 151 0 NA 202 0
1458813600.0 4.72 NA 32 0 NA 140 0 NA 153 0 NA 272 0
1458813600.0 4.73 NA 32 0 NA 142 0 NA 175 0 NA 374 0
1458813600.0 4.74 NA 31 0 NA 140 0 NA 172 0 NA 210 0
1458813600.0 4.75 NA 37 0 NA 141 0 NA 157 0 NA 228 0
1458813600.0 4.76 NA 52 0 NA 156 0 NA 131 0 NA 206 0
1458813600.0 4.77 NA 57 0 NA 162 0 NA 133 0 NA 247 0
1458813600.0 4.78 NA 40 0 NA 150 0 NA 150 0 NA 174 0
1458813600.0 4000.0 NA 50 NA NA 234 NA NA 153 NA NA 179 NA
1458813600.0 4001.0 NA 52 NA NA 235 NA NA 123 NA NA 171 NA
1458813600.0 4002.0 NA 61 NA NA 234 NA NA 97 NA NA 578 NA
1458813600.0 4003.0 NA 60 NA NA 234 NA NA 229 NA NA 315 NA
1458813600.0 4006.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 4008.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 43.0 NA 58 NA NA 234 NA NA 115 NA NA 151 NA
1458813600.0 44.0 NA 60 NA NA 234 NA NA 136 NA NA 194 NA
1458813600.0 45.0 NA 54 NA NA 234 NA NA 138 NA NA 166 NA
1458813600.0 5.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 5.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 5.3 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 5.4 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 5.5 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 500199.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 500200.0 NA 57 NA NA 235 NA NA 157 NA NA 325 NA
1458813600.0 500200.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 500202.0 NA 51 NA NA 228 NA NA 169 NA NA 188 NA
1458813600.0 500203.0 NA 56 NA NA 227 NA NA 161 NA NA 188 NA
1458813600.0 500204.0 NA 51 NA NA 227 NA NA 161 NA NA 182 NA
1458813600.0 500205.0 NA 51 NA NA 227 NA NA 163 NA NA 250 NA
1458813600.0 500206.0 NA 55 NA NA 227 NA NA 185 NA NA 281 NA
1458813600.0 500207.0 NA 56 NA NA 227 NA NA 196 NA NA 290 NA
1458813600.0 50200.0 NA 52 NA NA 235 NA NA 120 NA NA 170 NA
1458813600.0 50202.0 NA 61 NA NA 235 NA NA 133 NA NA 177 NA
1458813600.0 50203.0 NA 54 NA NA 234 NA NA 136 NA NA 163 NA
1458813600.0 50204.0 NA 54 NA NA 234 NA NA 150 NA NA 169 NA
1458813600.0 50205.0 NA 54 NA NA 234 NA NA 134 NA NA 160 NA
1458813600.0 50206.0 NA 55 NA NA 234 NA NA 118 NA NA 136 NA
1458813600.0 50207.0 NA 52 NA NA 234 NA NA 148 NA NA 163 NA
1458813600.0 50208.0 NA 61 NA NA 235 NA NA 123 NA NA 175 NA
1458813600.0 503.0 26 0 NA 126 0 NA 78 12 NA 118 24 NA
1458813600.0 504.0 25 0 NA 127 0 NA 51 17 NA 344 54 NA
1458813600.0 505.0 25 0 NA 126 0 NA 48 17 NA 323 46 NA
1458813600.0 506.0 24 0 NA 126 0 NA 39 14 NA 315 22 NA
1458813600.0 507.0 28 0 NA 126 0 NA 91 13 NA 345 28 NA
1458813600.0 508.0 25 0 NA 126 0 NA 42 18 NA 307 39 NA
1458813600.0 509.0 26 0 NA 126 0 NA 30 13 NA 336 28 NA
1458813600.0 510.0 25 0 NA 126 0 NA 171 13 NA 515 22 NA
1458813600.0 512.0 14 31 0 167 129 0 15 51 22 14604 57 47
1458813600.0 513.0 14 35 0 167 129 0 14 38 22 3935 45 34
1458813600.0 514.0 14 31 0 167 129 0 9 33 12 1637 58 24
1458813600.0 515.0 14 35 0 167 129 0 14 37 20 9362 307 83
1458813600.0 516.0 14 35 0 167 129 0 17 55 24 8288 443 36
1458813600.0 517.0 14 29 0 167 129 0 11 38 11 3071 61 21
1458813600.0 518.0 14 34 0 167 130 0 12 38 20 23954 44 36
1458813600.0 519.0 14 31 0 167 129 0 13 42 18 4827 67 52
1458813600.0 520.0 14 31 0 167 129 0 13 47 20 2210 54 34
1458813600.0 521.0 14 35 0 167 130 0 11 39 20 4949 115 65
1458813600.0 522.0 14 33 0 167 130 0 12 44 20 23920 52 36
1458813600.0 523.0 14 36 0 167 132 0 15 122 19 2334 134 36
1458813600.0 524.0 14 32 0 167 129 0 15 40 16 1962 45 25
1458813600.0 525.0 14 28 0 167 129 0 20 57 23 10093 105 50
1458813600.0 526.0 14 33 0 167 130 0 12 40 20 23929 46 35
1458813600.0 527.0 14 29 0 167 130 0 8 37 12 2922 62 21
1458813600.0 528.0 14 28 0 167 129 0 18 56 24 10966 66 42
1458813600.0 529.0 14 35 0 167 130 0 11 42 21 23954 51 35
1458813600.0 530.0 14 35 0 167 129 0 12 44 17 2317 55 31
1458813600.0 531.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 534.0 29 0 NA 236 0 NA 85 13 NA 456 28 NA
1458813600.0 541.0 27 0 NA 129 0 NA 71 15 NA 440 52 NA
1458813600.0 545.0 27 0 NA 129 0 NA 65 18 NA 420 54 NA
1458813600.0 551.0 14 34 0 167 129 0 11 53 25 2290 77 45
1458813600.0 552.0 14 35 0 167 129 0 14 45 17 2317 57 31
1458813600.0 554.0 14 35 0 167 129 0 13 44 16 4533 51 25
1458813600.0 555.0 14 35 0 167 129 0 8 34 13 2048 41 24
1458813600.0 556.0 14 35 0 167 129 0 8 37 12 1421 65 18
1458813600.0 560.0 27 0 NA 127 0 NA 44 12 NA 270 33 NA
