Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458428400.0 1.0 51 72 126 NA NA NA NA 97 143 168 NA NA NA NA 2963 612 666 NA NA NA NA 3150 630 681 NA NA NA NA
1458428400.0 10.0 NA 73 170 0 NA NA NA NA 140 229 0 NA NA NA NA 3792 3903 1120 NA NA NA NA 3967 3966 1140 NA NA NA
1458428400.0 1000.0 NA 174 98 0 35 NA NA NA 239 152 0 66 NA NA NA 4176 1060 969 311 NA NA NA 4383 1451 990 327 NA NA
1458428400.0 1001.0 NA 163 170 0 0 0 0 NA 222 202 0 0 0 0 NA 3486 1143 104 110 1220 302 NA 3532 1167 107 115 1230 309
1458428400.0 1002.0 NA 180 54 NA NA NA NA NA 248 93 NA NA NA NA NA 3754 305 NA NA NA NA NA 3965 359 NA NA NA NA
1458428400.0 1003.0 NA 157 0 NA NA NA NA NA 221 0 NA NA NA NA NA 5289 753 NA NA NA NA NA 5640 772 NA NA NA NA
1458428400.0 101.0 83 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1357 NA NA NA NA NA NA 1469 NA NA NA NA NA NA
1458428400.0 102.0 83 NA NA NA NA NA NA 135 NA NA NA NA NA NA 950 NA NA NA NA NA NA 997 NA NA NA NA NA NA
1458428400.0 103.0 47 71 172 NA NA NA NA 91 143 226 NA NA NA NA 1273 386 812 NA NA NA NA 1301 405 996 NA NA NA NA
1458428400.0 105.0 51 73 22 NA NA NA NA 97 143 53 NA NA NA NA 2938 628 6 NA NA NA NA 3072 656 36 NA NA NA NA
1458428400.0 106.0 37 0 0 NA NA NA NA 76 0 0 NA NA NA NA 520 114 235 NA NA NA NA 533 124 250 NA NA NA NA
1458428400.0 107.0 53 75 170 NA NA NA NA 97 143 226 NA NA NA NA 7009 801 1086 NA NA NA NA 7150 825 1125 NA NA NA NA
1458428400.0 108.0 54 74 174 NA NA NA NA 100 143 228 NA NA NA NA 7653 718 1199 NA NA NA NA 7892 790 1262 NA NA NA NA
1458428400.0 109.0 56 81 170 NA NA NA NA 100 143 227 NA NA NA NA 8989 723 1490 NA NA NA NA 9078 741 1519 NA NA NA NA
1458428400.0 11.0 NA 64 185 0 38 NA NA NA 139 236 0 76 NA NA NA 3192 1834 1292 92 NA NA NA 3306 2046 1320 107 NA NA
1458428400.0 110.0 45 71 168 NA NA NA NA 88 143 226 NA NA NA NA 1021 631 858 NA NA NA NA 1053 779 1027 NA NA NA NA
1458428400.0 1102.0 NA 67 175 101 62 NA NA NA 139 230 154 100 NA NA NA 3833 5180 3257 306 NA NA NA 3904 5247 3302 316 NA NA
1458428400.0 111.0 59 74 170 NA NA NA NA 96 143 225 NA NA NA NA 3221 551 961 NA NA NA NA 3383 623 1055 NA NA NA NA
1458428400.0 112.0 53 79 172 NA NA NA NA 98 143 226 NA NA NA NA 5033 664 1079 NA NA NA NA 5108 709 1233 NA NA NA NA
1458428400.0 113.0 55 72 172 NA NA NA NA 98 144 227 NA NA NA NA 6421 797 1085 NA NA NA NA 6854 844 1180 NA NA NA NA
1458428400.0 114.0 52 73 170 NA NA NA NA 98 143 226 NA NA NA NA 5009 676 1018 NA NA NA NA 5076 697 1177 NA NA NA NA
1458428400.0 115.0 55 81 169 NA NA NA NA 99 143 227 NA NA NA NA 6729 788 1193 NA NA NA NA 6943 815 1235 NA NA NA NA
1458428400.0 116.0 55 75 170 NA NA NA NA 99 143 227 NA NA NA NA 6091 731 1169 NA NA NA NA 6346 764 1213 NA NA NA NA
1458428400.0 117.0 56 75 173 NA NA NA NA 100 143 227 NA NA NA NA 9617 811 1275 NA NA NA NA 9805 842 1315 NA NA NA NA
1458428400.0 118.0 53 83 170 NA NA NA NA 99 143 226 NA NA NA NA 6553 766 1198 NA NA NA NA 6850 788 1259 NA NA NA NA
1458428400.0 119.0 54 81 170 NA NA NA NA 97 143 226 NA NA NA NA 5892 732 1091 NA NA NA NA 6152 775 1125 NA NA NA NA
1458428400.0 12.0 NA 72 169 0 NA NA NA NA 139 228 0 NA NA NA NA 3472 4257 1122 NA NA NA NA 3525 4325 1146 NA NA NA
1458428400.0 120.0 45 70 167 NA NA NA NA 87 143 226 NA NA NA NA 913 608 826 NA NA NA NA 1026 691 863 NA NA NA NA
1458428400.0 121.0 55 74 173 NA NA NA NA 99 143 227 NA NA NA NA 8426 857 1314 NA NA NA NA 8565 883 1377 NA NA NA NA
1458428400.0 122.0 50 72 167 NA NA NA NA 96 143 224 NA NA NA NA 1953 462 840 NA NA NA NA 2113 492 873 NA NA NA NA
1458428400.0 123.1 154 NA NA NA NA NA NA 213 NA NA NA NA NA NA 752 NA NA NA NA NA NA 886 NA NA NA NA NA NA
1458428400.0 123.2 156 NA NA NA NA NA NA 215 NA NA NA NA NA NA 912 NA NA NA NA NA NA 944 NA NA NA NA NA NA
1458428400.0 123.3 149 NA NA NA NA NA NA 202 NA NA NA NA NA NA 502 NA NA NA NA NA NA 514 NA NA NA NA NA NA
1458428400.0 124.1 147 NA NA NA NA NA NA 205 NA NA NA NA NA NA 552 NA NA NA NA NA NA 574 NA NA NA NA NA NA
1458428400.0 124.2 155 NA NA NA NA NA NA 213 NA NA NA NA NA NA 657 NA NA NA NA NA NA 676 NA NA NA NA NA NA
1458428400.0 124.4 151 NA NA NA NA NA NA 205 NA NA NA NA NA NA 529 NA NA NA NA NA NA 545 NA NA NA NA NA NA
1458428400.0 124.5 152 NA NA NA NA NA NA 205 NA NA NA NA NA NA 530 NA NA NA NA NA NA 630 NA NA NA NA NA NA
1458428400.0 124.6 144 NA NA NA NA NA NA 202 NA NA NA NA NA NA 535 NA NA NA NA NA NA 555 NA NA NA NA NA NA
1458428400.0 125.0 55 85 171 NA NA NA NA 99 144 227 NA NA NA NA 6193 718 1088 NA NA NA NA 6284 734 1118 NA NA NA NA
1458428400.0 126.0 45 69 169 NA NA NA NA 84 143 226 NA NA NA NA 1844 628 916 NA NA NA NA 1878 657 980 NA NA NA NA
1458428400.0 127.0 44 69 167 NA NA NA NA 88 143 226 NA NA NA NA 2251 613 874 NA NA NA NA 2332 637 954 NA NA NA NA
1458428400.0 128.0 44 71 168 NA NA NA NA 83 143 226 NA NA NA NA 861 627 824 NA NA NA NA 915 668 873 NA NA NA NA
1458428400.0 129.0 42 78 167 NA NA NA NA 83 143 226 NA NA NA NA 885 610 830 NA NA NA NA 925 638 885 NA NA NA NA
1458428400.0 13.0 NA 69 170 0 NA NA NA NA 139 226 0 NA NA NA NA 533 1786 997 NA NA NA NA 601 1850 1022 NA NA NA
1458428400.0 130.0 46 69 167 NA NA NA NA 88 143 226 NA NA NA NA 1009 611 877 NA NA NA NA 1178 736 1024 NA NA NA NA
1458428400.0 1301.0 57 109 142 NA NA NA NA 103 171 206 NA NA NA NA 2337 978 1158 NA NA NA NA 2893 1095 1521 NA NA NA NA
1458428400.0 1302.0 64 118 145 NA NA NA NA 108 171 209 NA NA NA NA 9727 1236 1650 NA NA NA NA 11491 1673 1978 NA NA NA NA
1458428400.0 1303.0 65 121 152 NA NA NA NA 109 171 214 NA NA NA NA 12523 905 1670 NA NA NA NA 13268 1077 2076 NA NA NA NA
1458428400.0 1306.0 NA 126 202 0 NA NA NA NA 179 278 0 NA NA NA NA 1064 1548 1967 NA NA NA NA 1279 1882 2000 NA NA NA
