Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458252000.0 1.0 74 69 130 NA NA NA NA 142 145 188 NA NA NA NA 2243 668 530 NA NA NA NA 1026 526 494 NA NA NA NA
1458252000.0 10.0 NA 104 349 0 NA NA NA NA 162 413 0 NA NA NA NA 4641 4518 983 NA NA NA NA 1827 2236 993 NA NA NA
1458252000.0 1000.0 NA 312 120 0 45 NA NA NA 383 173 0 81 NA NA NA 4973 1049 931 385 NA NA NA 2654 789 943 391 NA NA
1458252000.0 1001.0 NA 288 230 0 0 0 0 NA 347 265 0 0 0 0 NA 4030 1106 59 60 942 125 NA 2183 1066 66 62 945 135
1458252000.0 1002.0 NA 318 61 NA NA NA NA NA 389 104 NA NA NA NA NA 3607 182 NA NA NA NA NA 1812 143 NA NA NA NA
1458252000.0 10021.0 NA 88 161 0 NA NA NA NA 184 217 0 NA NA NA NA 970 1028 266 NA NA NA NA 856 816 272 NA NA NA
1458252000.0 10023.0 NA 89 165 0 NA NA NA NA 184 217 0 NA NA NA NA 910 748 298 NA NA NA NA 804 811 307 NA NA NA
1458252000.0 10024.0 NA 97 171 0 NA NA NA NA 184 230 0 NA NA NA NA 962 962 305 NA NA NA NA 823 840 325 NA NA NA
1458252000.0 10025.0 NA 91 166 0 NA NA NA NA 184 222 0 NA NA NA NA 906 746 277 NA NA NA NA 812 731 295 NA NA NA
1458252000.0 10026.0 NA 99 184 0 NA NA NA NA 183 233 0 NA NA NA NA 1649 1727 423 NA NA NA NA 2119 1339 434 NA NA NA
1458252000.0 1003.0 NA 260 0 NA NA NA NA NA 334 0 NA NA NA NA NA 3820 479 NA NA NA NA NA 1803 486 NA NA NA NA
1458252000.0 1004.0 NA 334 159 0 0 0 NA NA 407 195 0 0 0 NA NA 997 222 39 37 386 NA NA 849 269 86 51 400 NA
1458252000.0 101.0 100 NA NA NA NA NA NA 163 NA NA NA NA NA NA 690 NA NA NA NA NA NA 706 NA NA NA NA NA NA
1458252000.0 102.0 99 NA NA NA NA NA NA 162 NA NA NA NA NA NA 667 NA NA NA NA NA NA 684 NA NA NA NA NA NA
1458252000.0 10224.0 NA 183 365 0 NA NA NA NA 278 456 0 NA NA NA NA 3486 4432 335 NA NA NA NA 4849 4878 347 NA NA NA
1458252000.0 10225.0 NA 174 367 0 NA NA NA NA 258 456 0 NA NA NA NA 3886 4143 315 NA NA NA NA 4930 4977 321 NA NA NA
1458252000.0 103.0 50 73 323 NA NA NA NA 101 152 395 NA NA NA NA 1877 438 896 NA NA NA NA 1205 451 942 NA NA NA NA
1458252000.0 105.0 76 80 24 NA NA NA NA 142 152 58 NA NA NA NA 2221 626 3 NA NA NA NA 1008 475 7 NA NA NA NA
1458252000.0 106.0 36 0 0 NA NA NA NA 81 0 0 NA NA NA NA 466 252 428 NA NA NA NA 480 265 439 NA NA NA NA
1458252000.0 107.0 87 90 353 NA NA NA NA 151 152 407 NA NA NA NA 7531 972 1741 NA NA NA NA 2690 758 1604 NA NA NA NA
1458252000.0 108.0 88 95 342 NA NA NA NA 152 152 410 NA NA NA NA 12403 1023 2097 NA NA NA NA 4149 762 1703 NA NA NA NA
1458252000.0 109.0 88 84 339 NA NA NA NA 150 152 407 NA NA NA NA 8977 997 1925 NA NA NA NA 2990 738 1589 NA NA NA NA
1458252000.0 11.0 NA 97 372 0 53 NA NA NA 161 439 0 94 NA NA NA 3415 2483 1019 82 NA NA NA 1397 1814 1083 83 NA NA
1458252000.0 110.0 59 85 338 NA NA NA NA 111 152 402 NA NA NA NA 1384 553 906 NA NA NA NA 750 466 930 NA NA NA NA
1458252000.0 1102.0 NA 94 350 112 69 NA NA NA 161 417 176 111 NA NA NA 4266 5664 5439 328 NA NA NA 1632 2491 2475 238 NA NA
1458252000.0 111.0 76 81 333 NA NA NA NA 144 152 399 NA NA NA NA 2434 541 983 NA NA NA NA 1142 468 949 NA NA NA NA
1458252000.0 112.0 87 82 339 NA NA NA NA 150 152 400 NA NA NA NA 6637 992 1648 NA NA NA NA 2553 1227 1603 NA NA NA NA
1458252000.0 113.0 85 92 337 NA NA NA NA 149 152 400 NA NA NA NA 7241 968 1714 NA NA NA NA 2547 744 1510 NA NA NA NA
1458252000.0 114.0 86 94 339 NA NA NA NA 154 152 407 NA NA NA NA 6917 1002 1598 NA NA NA NA 2785 726 1462 NA NA NA NA
1458252000.0 115.0 85 91 335 NA NA NA NA 153 152 402 NA NA NA NA 8230 1052 1671 NA NA NA NA 2855 763 1448 NA NA NA NA
1458252000.0 116.0 88 93 349 NA NA NA NA 152 152 417 NA NA NA NA 9235 997 1785 NA NA NA NA 3380 722 1481 NA NA NA NA
1458252000.0 117.0 83 85 339 NA NA NA NA 151 152 408 NA NA NA NA 9208 993 1765 NA NA NA NA 3044 743 1463 NA NA NA NA
1458252000.0 118.0 84 93 350 NA NA NA NA 151 152 412 NA NA NA NA 11197 1018 1949 NA NA NA NA 3896 746 1588 NA NA NA NA
1458252000.0 119.0 84 90 336 NA NA NA NA 150 152 402 NA NA NA NA 7084 1024 1589 NA NA NA NA 2680 793 1477 NA NA NA NA
1458252000.0 12.0 NA 89 345 0 NA NA NA NA 161 411 0 NA NA NA NA 4115 4758 1017 NA NA NA NA 1638 2407 1035 NA NA NA
1458252000.0 120.0 59 76 326 NA NA NA NA 114 152 393 NA NA NA NA 1048 583 918 NA NA NA NA 653 451 882 NA NA NA NA
1458252000.0 121.0 85 85 340 NA NA NA NA 150 152 408 NA NA NA NA 8358 956 1830 NA NA NA NA 2764 719 1488 NA NA NA NA
1458252000.0 122.0 60 76 328 NA NA NA NA 115 152 396 NA NA NA NA 1910 450 897 NA NA NA NA 1000 482 923 NA NA NA NA
1458252000.0 123.1 306 NA NA NA NA NA NA 399 NA NA NA NA NA NA 1048 NA NA NA NA NA NA 855 NA NA NA NA NA NA
1458252000.0 123.2 312 NA NA NA NA NA NA 405 NA NA NA NA NA NA 1184 NA NA NA NA NA NA 888 NA NA NA NA NA NA
1458252000.0 123.3 263 NA NA NA NA NA NA 345 NA NA NA NA NA NA 876 NA NA NA NA NA NA 806 NA NA NA NA NA NA
1458252000.0 124.1 293 NA NA NA NA NA NA 372 NA NA NA NA NA NA 907 NA NA NA NA NA NA 822 NA NA NA NA NA NA
1458252000.0 124.2 304 NA NA NA NA NA NA 398 NA NA NA NA NA NA 968 NA NA NA NA NA NA 841 NA NA NA NA NA NA
1458252000.0 124.4 291 NA NA NA NA NA NA 372 NA NA NA NA NA NA 887 NA NA NA NA NA NA 818 NA NA NA NA NA NA
1458252000.0 124.5 293 NA NA NA NA NA NA 372 NA NA NA NA NA NA 871 NA NA NA NA NA NA 843 NA NA NA NA NA NA
1458252000.0 124.6 263 NA NA NA NA NA NA 348 NA NA NA NA NA NA 891 NA NA NA NA NA NA 823 NA NA NA NA NA NA
1458252000.0 125.0 87 83 337 NA NA NA NA 153 152 401 NA NA NA NA 7339 967 1622 NA NA NA NA 2694 712 1431 NA NA NA NA
1458252000.0 126.0 58 85 329 NA NA NA NA 112 152 400 NA NA NA NA 1738 574 934 NA NA NA NA 858 468 904 NA NA NA NA
1458252000.0 127.0 63 85 332 NA NA NA NA 116 152 394 NA NA NA NA 3410 896 1535 NA NA NA NA 1427 677 1462 NA NA NA NA
1458252000.0 128.0 57 78 327 NA NA NA NA 105 152 394 NA NA NA NA 1012 627 843 NA NA NA NA 625 506 824 NA NA NA NA
1458252000.0 129.0 57 76 327 NA NA NA NA 106 152 393 NA NA NA NA 1069 626 848 NA NA NA NA 642 497 813 NA NA NA NA
1458252000.0 13.0 NA 94 342 0 NA NA NA NA 161 406 0 NA NA NA NA 810 2412 940 NA NA NA NA 737 1650 951 NA NA NA
1458252000.0 130.0 61 76 327 NA NA NA NA 116 152 394 NA NA NA NA 1140 590 917 NA NA NA NA 696 474 864 NA NA NA NA
1458252000.0 1301.0 85 139 174 NA NA NA NA 148 214 245 NA NA NA NA 3660 1226 1413 NA NA NA NA 1831 1027 1317 NA NA NA NA
1458252000.0 1302.0 98 162 184 NA NA NA NA 164 214 256 NA NA NA NA 10428 1408 1880 NA NA NA NA 3981 1051 1563 NA NA NA NA
1458252000.0 1303.0 106 165 188 NA NA NA NA 171 217 262 NA NA NA NA 15736 1144 2042 NA NA NA NA 5112 756 1236 NA NA NA NA
1458252000.0 1306.0 NA 161 395 0 NA NA NA NA 226 469 0 NA NA NA NA 1187 2611 1837 NA NA NA NA 985 2472 1852 NA NA NA
1458252000.0 1307.0 NA 136 181 42 0 NA NA NA 222 240 83 0 NA NA NA 715 907 73 432 NA NA NA 649 900 254 446 NA NA
1458252000.0 1308.0 NA 137 177 44 0 NA NA NA 222 240 81 0 NA NA NA 690 898 55 397 NA NA NA 616 857 110 411 NA NA
1458252000.0 1309.0 NA 169 416 0 NA NA NA NA 231 485 0 NA NA NA NA 1406 2855 1784 NA NA NA NA 1130 2444 1793 NA NA NA
1458252000.0 131.0 62 78 329 NA NA NA NA 119 152 394 NA NA NA NA 2246 578 949 NA NA NA NA 984 474 924 NA NA NA NA
1458252000.0 1310.0 NA 169 416 0 NA NA NA NA 231 484 0 NA NA NA NA 1394 2874 1881 NA NA NA NA 1070 2472 1899 NA NA NA
1458252000.0 1311.0 NA 158 420 0 68 NA NA NA 226 474 0 102 NA NA NA 1206 2517 2040 252 NA NA NA 990 2761 2053 302 NA NA
1458252000.0 1312.0 NA 166 411 0 NA NA NA NA 229 481 0 NA NA NA NA 1367 3112 1811 NA NA NA NA 1061 2610 1847 NA NA NA
1458252000.0 1313.0 NA 177 423 0 NA NA NA NA 251 495 0 NA NA NA NA 1479 3238 1220 NA NA NA NA 993 2045 1273 NA NA NA
1458252000.0 1314.0 NA 171 408 0 NA NA NA NA 234 481 0 NA NA NA NA 1441 2938 1887 NA NA NA NA 1135 2682 1902 NA NA NA
1458252000.0 1315.0 NA 160 402 0 NA NA NA NA 226 481 0 NA NA NA NA 1187 2654 1716 NA NA NA NA 1004 2488 1729 NA NA NA
1458252000.0 1316.0 NA 156 402 0 NA NA NA NA 226 471 0 NA NA NA NA 1268 2541 1707 NA NA NA NA 1093 2349 1728 NA NA NA
1458252000.0 1317.0 NA 160 406 0 NA NA NA NA 226 473 0 NA NA NA NA 1268 2585 1713 NA NA NA NA 1065 2571 1745 NA NA NA
1458252000.0 1318.0 NA 155 399 0 NA NA NA NA 226 468 0 NA NA NA NA 1194 2453 1801 NA NA NA NA 983 2291 1814 NA NA NA
1458252000.0 1319.0 NA 164 399 0 NA NA NA NA 226 474 0 NA NA NA NA 1171 2551 1804 NA NA NA NA 1009 2415 1817 NA NA NA
1458252000.0 132.0 82 93 346 NA NA NA NA 144 152 417 NA NA NA NA 8756 982 1940 NA NA NA NA 3091 750 1613 NA NA NA NA
1458252000.0 1320.0 NA 160 400 0 NA NA NA NA 226 470 0 NA NA NA NA 1237 2483 1714 NA NA NA NA 1021 2305 1735 NA NA NA
1458252000.0 1321.0 NA 167 401 0 NA NA NA NA 226 473 0 NA NA NA NA 1258 2626 1853 NA NA NA NA 1011 2364 1864 NA NA NA
1458252000.0 1322.0 NA 158 405 0 NA NA NA NA 226 475 0 NA NA NA NA 1246 2548 1840 NA NA NA NA 1057 2246 1853 NA NA NA
1458252000.0 1323.0 NA 154 409 0 NA NA NA NA 226 480 0 NA NA NA NA 1156 2445 1750 NA NA NA NA 989 2386 1769 NA NA NA
1458252000.0 1324.0 NA 174 413 0 NA NA NA NA 230 483 0 NA NA NA NA 1358 2782 1802 NA NA NA NA 1060 2336 1818 NA NA NA
1458252000.0 1325.0 NA 169 413 0 74 NA NA NA 232 488 0 109 NA NA NA 850 2224 1171 162 NA NA NA 670 1803 1189 206 NA NA
1458252000.0 1326.0 NA 163 408 0 NA NA NA NA 226 477 0 NA NA NA NA 1282 2743 1880 NA NA NA NA 1032 2530 1892 NA NA NA
1458252000.0 1327.0 NA 172 412 0 NA NA NA NA 226 476 0 NA NA NA NA 1385 2905 1816 NA NA NA NA 1176 3125 1859 NA NA NA
1458252000.0 1328.0 NA 171 413 0 NA NA NA NA 227 484 0 NA NA NA NA 1378 2682 1848 NA NA NA NA 1064 2363 1881 NA NA NA
1458252000.0 1329.0 NA 164 409 0 NA NA NA NA 226 481 0 NA NA NA NA 1296 2867 1885 NA NA NA NA 1084 2618 1898 NA NA NA
1458252000.0 133.0 90 97 345 NA NA NA NA 157 152 416 NA NA NA NA 13947 1075 2023 NA NA NA NA 4425 748 1559 NA NA NA NA
1458252000.0 1330.0 NA 165 406 0 NA NA NA NA 226 478 0 NA NA NA NA 1358 2621 1792 NA NA NA NA 1129 2318 1803 NA NA NA
1458252000.0 1331.0 NA 162 408 0 NA NA NA NA 226 473 0 NA NA NA NA 1288 2541 1771 NA NA NA NA 1069 2329 1787 NA NA NA
1458252000.0 1332.0 NA 172 414 0 NA NA NA NA 226 481 0 NA NA NA NA 1423 3095 1836 NA NA NA NA 1204 3253 1867 NA NA NA
1458252000.0 1333.0 NA 161 405 0 NA NA NA NA 226 476 0 NA NA NA NA 1244 2506 1830 NA NA NA NA 1009 2292 1845 NA NA NA
1458252000.0 1334.0 NA 167 413 0 NA NA NA NA 229 482 0 NA NA NA NA 1364 2673 1873 NA NA NA NA 1095 2367 1884 NA NA NA
1458252000.0 1335.0 NA 164 408 0 NA NA NA NA 226 476 0 NA NA NA NA 1308 2532 1758 NA NA NA NA 1076 2287 1768 NA NA NA
1458252000.0 1336.0 NA 179 419 0 NA NA NA NA 240 491 0 NA NA NA NA 1893 3912 1795 NA NA NA NA 1250 2746 1810 NA NA NA
1458252000.0 1337.0 NA 175 427 0 NA NA NA NA 245 500 0 NA NA NA NA 1151 2895 1188 NA NA NA NA 741 1902 1207 NA NA NA
1458252000.0 1338.0 NA 171 416 0 NA NA NA NA 234 489 0 NA NA NA NA 1466 2960 1950 NA NA NA NA 1126 2478 1969 NA NA NA
1458252000.0 1339.0 NA 173 433 0 NA NA NA NA 238 501 0 NA NA NA NA 1814 3664 1817 NA NA NA NA 1212 2726 1825 NA NA NA
1458252000.0 134.0 NA 326 39 0 NA NA NA NA 397 74 0 NA NA NA NA 5661 28 18 NA NA NA NA 2964 57 23 NA NA NA
1458252000.0 134.701 NA 43 350 0 NA NA NA NA 89 420 0 NA NA NA NA 267 8717 980 NA NA NA NA 287 4474 995 NA NA NA
1458252000.0 134.702 NA 41 341 0 NA NA NA NA 86 416 0 NA NA NA NA 145 7218 613 NA NA NA NA 171 2755 630 NA NA NA
1458252000.0 134.703 NA 46 358 0 NA NA NA NA 90 430 0 NA NA NA NA 157 7701 966 NA NA NA NA 221 2895 988 NA NA NA
1458252000.0 134.704 NA 46 352 0 NA NA NA NA 89 418 0 NA NA NA NA 301 11237 958 NA NA NA NA 314 4703 997 NA NA NA
1458252000.0 134.705 NA 45 356 0 NA NA NA NA 87 430 0 NA NA NA NA 162 8003 623 NA NA NA NA 199 3073 631 NA NA NA
1458252000.0 134.706 NA 38 352 0 NA NA NA NA 89 424 0 NA NA NA NA 157 8374 645 NA NA NA NA 173 3210 652 NA NA NA
1458252000.0 134.707 NA 45 346 0 NA NA NA NA 88 415 0 NA NA NA NA 148 7529 598 NA NA NA NA 163 2904 611 NA NA NA
1458252000.0 134.708 NA 36 343 0 NA NA NA NA 87 416 0 NA NA NA NA 152 5999 952 NA NA NA NA 209 2428 1011 NA NA NA
1458252000.0 134.709 NA 40 366 0 NA NA NA NA 89 436 0 NA NA NA NA 301 11756 933 NA NA NA NA 345 5285 949 NA NA NA
1458252000.0 134.71 NA 41 344 0 NA NA NA NA 83 407 0 NA NA NA NA 244 7342 924 NA NA NA NA 260 3455 936 NA NA NA
1458252000.0 134.801 NA 143 366 0 NA NA NA NA 203 434 0 NA NA NA NA 2105 9681 992 NA NA NA NA 1099 4671 1004 NA NA NA
1458252000.0 134.802 NA 140 368 0 NA NA NA NA 211 446 0 NA NA NA NA 2566 9528 676 NA NA NA NA 979 3628 681 NA NA NA
1458252000.0 134.803 NA 144 364 0 NA NA NA NA 217 437 0 NA NA NA NA 2300 9145 799 NA NA NA NA 957 3464 805 NA NA NA
1458252000.0 134.804 NA 142 386 0 NA NA NA NA 215 460 0 NA NA NA NA 2331 9708 656 NA NA NA NA 901 3740 670 NA NA NA
1458252000.0 134.805 NA 153 375 0 NA NA NA NA 221 453 0 NA NA NA NA 3316 11945 636 NA NA NA NA 1273 4426 651 NA NA NA
1458252000.0 134.806 NA 152 381 0 NA NA NA NA 227 456 0 NA NA NA NA 2695 11244 667 NA NA NA NA 942 3996 674 NA NA NA
1458252000.0 134.807 NA 162 387 0 NA NA NA NA 257 469 0 NA NA NA NA 3457 10180 938 NA NA NA NA 1600 4103 947 NA NA NA
1458252000.0 134.808 NA 162 383 0 NA NA NA NA 254 468 0 NA NA NA NA 2947 10504 837 NA NA NA NA 1393 4136 848 NA NA NA
1458252000.0 134.809 NA 142 363 0 NA NA NA NA 216 438 0 NA NA NA NA 2317 10013 636 NA NA NA NA 876 3986 651 NA NA NA
1458252000.0 134.81 NA 138 370 0 NA NA NA NA 214 438 0 NA NA NA NA 2255 11590 649 NA NA NA NA 865 4328 662 NA NA NA
1458252000.0 134.811 NA 160 375 0 NA NA NA NA 224 452 0 NA NA NA NA 2836 12099 636 NA NA NA NA 1001 4322 644 NA NA NA
1458252000.0 134.812 NA 127 355 0 NA NA NA NA 201 424 0 NA NA NA NA 1236 7527 785 NA NA NA NA 648 3283 795 NA NA NA
1458252000.0 134.901 NA 138 357 0 NA NA NA NA 204 426 0 NA NA NA NA 2199 9664 1061 NA NA NA NA 1096 4709 1075 NA NA NA
1458252000.0 134.902 NA 144 359 0 NA NA NA NA 208 432 0 NA NA NA NA 1966 7876 876 NA NA NA NA 833 3142 883 NA NA NA
1458252000.0 134.903 NA 147 370 0 NA NA NA NA 208 429 0 NA NA NA NA 2783 11797 1012 NA NA NA NA 1740 5710 1030 NA NA NA
1458252000.0 134.904 NA 143 360 0 NA NA NA NA 218 436 0 NA NA NA NA 2337 8565 661 NA NA NA NA 873 3479 674 NA NA NA
1458252000.0 134.905 NA 143 360 0 NA NA NA NA 212 430 0 NA NA NA NA 1902 8814 703 NA NA NA NA 820 3637 716 NA NA NA
1458252000.0 134.906 NA 146 366 0 NA NA NA NA 213 437 0 NA NA NA NA 2525 10013 684 NA NA NA NA 948 3974 698 NA NA NA
